SICBL24CD,SICBL26CD,population,share_of_24,boundary_changed
E38000006,E38000006,246448,1.0,False
E38000007,E38000007,266158,1.0,False
E38000008,E38000008,119985,1.0,False
E38000014,E38000014,155823,1.0,False
E38000015,E38000015,141648,1.0,False
E38000016,E38000016,299153,1.0,False
E38000021,E38000021,278370,1.0,False
E38000024,E38000024,194590,1.0,False
E38000025,E38000025,207660,1.0,False
E38000028,E38000028,137724,1.0,False
E38000030,E38000030,176938,1.0,False
E38000034,E38000034,180486,1.0,False
E38000044,E38000044,310964,1.0,False
E38000045,E38000045,785932,1.0,False
E38000049,E38000049,574368,1.0,False
E38000050,E38000050,397304,1.0,False
E38000051,E38000051,350667,1.0,False
E38000052,E38000052,321763,1.0,False
E38000053,E38000053,136573,1.0,False
E38000062,E38000062,652666,1.0,False
E38000068,E38000068,129008,1.0,False
E38000079,E38000079,610224,1.0,False
E38000080,E38000080,226950,1.0,False
E38000085,E38000085,268677,1.0,False
E38000086,E38000086,414577,1.0,False
E38000089,E38000089,577813,1.0,False
E38000091,E38000091,157107,1.0,False
E38000097,E38000097,372495,1.0,False
E38000101,E38000101,495849,1.0,False
E38000106,E38000106,408587,1.0,False
E38000117,E38000117,346048,1.0,False
E38000119,E38000119,157745,1.0,False
E38000122,E38000122,170085,1.0,False
E38000126,E38000126,213258,1.0,False
E38000127,E38000127,210512,1.0,False
E38000130,E38000130,324286,1.0,False
E38000135,E38000135,243993,1.0,False
E38000136,E38000136,720757,1.0,False
E38000137,E38000137,208949,1.0,False
E38000141,E38000141,268267,1.0,False
E38000143,E38000143,278867,1.0,False
E38000146,E38000146,564702,1.0,False
E38000150,E38000150,577091,1.0,False
E38000153,E38000153,231478,1.0,False
E38000161,E38000161,163734,1.0,False
E38000163,E38000163,148608,1.0,False
E38000168,E38000168,180884,1.0,False
E38000170,E38000170,117305,1.0,False
E38000172,E38000172,184728,1.0,False
E38000173,E38000173,159211,1.0,False
E38000174,E38000174,297191,1.0,False
E38000175,E38000175,268058,1.0,False
E38000176,E38000176,277512,1.0,False
E38000185,E38000185,176788,1.0,False
E38000187,E38000187,236651,1.0,False
E38000188,E38000188,364227,1.0,False
E38000190,E38000190,356978,1.0,False
E38000194,E38000194,211797,1.0,False
E38000197,E38000197,322128,1.0,False
E38000200,E38000200,119360,1.0,False
E38000201,E38000201,413498,1.0,False
E38000204,E38000204,237570,1.0,False
E38000205,E38000205,334014,1.0,False
E38000208,E38000208,322439,1.0,False
E38000212,E38000212,504324,1.0,False
E38000215,E38000215,322409,1.0,False
E38000217,E38000217,566778,1.0,False
E38000221,E38000221,519522,1.0,False
E38000222,E38000222,993108,1.0,False
E38000223,E38000223,563782,1.0,False
E38000225,E38000225,820802,1.0,False
E38000226,E38000226,200311,1.0,False
E38000227,E38000227,211900,1.0,False
E38000228,E38000228,331324,1.0,False
E38000230,E38000230,1232580,1.0,False
E38000231,E38000231,954449,1.0,False
E38000232,E38000232,604663,1.0,False
E38000233,E38000233,768386,1.0,False
E38000234,E38000234,527704,1.0,False
E38000235,E38000235,551007,1.0,False
E38000236,E38000236,798019,1.0,False
E38000237,E38000237,1877417,1.0,False
E38000238,E38000238,775864,1.0,False
E38000239,E38000239,1042267,1.0,False
E38000240,E38000240,1417144,1.0,False
E38000241,E38000241,430525,1.0,False
E38000243,E38000243,1042493,1.0,False
E38000244,E38000244,1796537,1.0,False
E38000245,E38000245,1511629,1.0,False
E38000247,E38000247,689123,1.0,False
E38000249,E38000249,1016380,1.0,False
E38000251,E38000251,960602,1.0,False
E38000252,E38000266,176604,0.22809539492802758,True
E38000252,E38000267,156365,0.20195542812122622,True
E38000252,E38000268,441286,0.5699491769507462,True
E38000253,E38000266,1633583,1.0,True
E38000254,E38000254,437794,1.0,False
E38000255,E38000255,2026631,1.0,False
E38000256,E38000256,2117102,1.0,False
E38000257,E38000257,516479,1.0,False
E38000258,E38000258,1372005,1.0,False
E38000259,E38000259,1223619,1.0,False
E38000260,E38000260,928260,1.0,False
E38000261,E38000261,1067075,1.0,False
E38000262,E38000262,792755,1.0,False
E38000263,E38000263,232806,1.0,False
E38000264,E38000267,1060683,1.0,True
E38000265,E38000265,892807,1.0,False
