BNF_CHEMICAL_SUBSTANCE_CODE,BNF_CHEMICAL_SUBSTANCE,ITEMS,group
0501013B0,Amoxicillin,399007,all_antibacterials
0501012G0,Flucloxacillin sodium,337550,all_antibacterials
0501130R0,Nitrofurantoin,287541,all_antibacterials
0501030I0,Doxycycline hyclate,270911,all_antibacterials
0501011P0,Phenoxymethylpenicillin (Penicillin V),162303,all_antibacterials
0501050B0,Clarithromycin,125504,all_antibacterials
0501080W0,Trimethoprim,122374,all_antibacterials
0501013K0,Co-amoxiclav (Amoxicillin/clavulanic acid),95754,all_antibacterials
0501130H0,Methenamine hippurate,86124,all_antibacterials
0501050A0,Azithromycin,76297,all_antibacterials
0501021L0,Cefalexin,74452,all_antibacterials
0501030L0,Lymecycline,65001,all_antibacterials
0501110C0,Metronidazole,38372,all_antibacterials
0501015P0,Pivmecillinam hydrochloride,29575,all_antibacterials
0501080D0,Co-trimoxazole(Trimethoprim/sulfamethoxazole),26708,all_antibacterials
0501120L0,Ciprofloxacin,19758,all_antibacterials
0501070AE,Fosfomycin trometamol,17087,all_antibacterials
0501050C0,Erythromycin,16545,all_antibacterials
0501070X0,Rifaximin,12071,all_antibacterials
0501030T0,Oxytetracycline,9312,all_antibacterials
0501050H0,Erythromycin ethylsuccinate,8092,all_antibacterials
0501030Z0,Doxycycline monohydrate,5389,all_antibacterials
0501060D0,Clindamycin hydrochloride,4984,all_antibacterials
0501120P0,Ofloxacin,3708,all_antibacterials
0501070I0,Colistimethate sodium,2472,all_antibacterials
0501120X0,Levofloxacin,1999,all_antibacterials
0501100H0,Dapsone,1656,all_antibacterials
0501030V0,Tetracycline,1292,all_antibacterials
0501090R0,Rifampicin,781,all_antibacterials
0501070U0,Vancomycin hydrochloride,766,all_antibacterials
0501021M0,Cefradine,688,all_antibacterials
0501050N0,Erythromycin stearate,380,all_antibacterials
0501030P0,Minocycline hydrochloride,346,all_antibacterials
0501030F0,Demeclocycline hydrochloride,311,all_antibacterials
0501090K0,Isoniazid,205,all_antibacterials
0501040H0,Gentamicin sulfate,162,all_antibacterials
0501021A0,Cefaclor,150,all_antibacterials
0501120Y0,Moxifloxacin,150,all_antibacterials
0501070W0,Linezolid,134,all_antibacterials
0501021K0,Cefuroxime axetil,120,all_antibacterials
0501090H0,Ethambutol hydrochloride,116,all_antibacterials
0501070AC,Fidaxomicin,112,all_antibacterials
0501040U0,Tobramycin,43,all_antibacterials
0501090S0,Rifampicin combined preparations,34,all_antibacterials
0501021G0,Ceftriaxone sodium,29,all_antibacterials
0501070T0,Teicoplanin,25,all_antibacterials
0501021C0,Cefixime,17,all_antibacterials
0501090Q0,Rifabutin,12,all_antibacterials
0501011J0,Benzylpenicillin sodium (Penicillin G),11,all_antibacterials
0501021B0,Cefadroxil,9,all_antibacterials
0501013E0,Ampicillin,7,all_antibacterials
0501022B0,Ertapenem sodium,6,all_antibacterials
0501013C0,Amoxicillin sodium,5,all_antibacterials
0501022A0,Meropenem,4,all_antibacterials
0501014S0,Piperacillin sodium/tazobactam sodium,3,all_antibacterials
0501070N0,Sodium fusidate,3,all_antibacterials
0501080J0,Sulfadiazine,3,all_antibacterials
0501100C0,Clofazimine,3,all_antibacterials
0501021H0,Ceftazidime pentahydrate,2,all_antibacterials
0501070M0,Fusidic acid,2,all_antibacterials
0501021D0,Cefotaxime sodium,1,all_antibacterials
0501021J0,Cefuroxime sodium,1,all_antibacterials
0501070F0,Chloramphenicol,1,all_antibacterials
0501070Z0,Pristinamycin,1,all_antibacterials
0501130S0,Fosfomycin calcium,1,all_antibacterials
0501090R0,Rifampicin,781,antituberculosis
0501090K0,Isoniazid,205,antituberculosis
0501090H0,Ethambutol hydrochloride,116,antituberculosis
0501090S0,Rifampicin combined preparations,34,antituberculosis
0501090Q0,Rifabutin,12,antituberculosis
0501120L0,Ciprofloxacin,19758,fluoroquinolones
0501120P0,Ofloxacin,3708,fluoroquinolones
0501120X0,Levofloxacin,1999,fluoroquinolones
