utla,year,population,pct_age_65plus,pct_age_15_44,international_in,intl_in_per_1000,asylum_supported,asylum_per_1000,diabetes_prev,hiv_prev,items_total,items_antituberculosis,items_oral_glucocorticoids,items_oral_hydrocortisone,items_oral_dexamethasone,items_inhaled_corticosteroids,items_conventional_dmards,items_transplant_immunosuppressants,items_proton_pump_inhibitors,items_statins,items_metformin,items_insulins,items_fluoroquinolones,items_all_antibacterials,items_vitamin_d,items_levothyroxine,mg_pred_equivalent,adq_antituberculosis,adq_oral_glucocorticoids,adq_oral_hydrocortisone,adq_oral_dexamethasone,adq_inhaled_corticosteroids,adq_conventional_dmards,adq_transplant_immunosuppressants,adq_proton_pump_inhibitors,adq_statins,adq_metformin,adq_insulins,adq_fluoroquinolones,adq_all_antibacterials,adq_vitamin_d,adq_levothyroxine,rate_total_items,rate_antituberculosis,rate_oral_glucocorticoids,rate_oral_hydrocortisone,rate_oral_dexamethasone,rate_inhaled_corticosteroids,rate_conventional_dmards,rate_transplant_immunosuppressants,rate_proton_pump_inhibitors,rate_statins,rate_metformin,rate_insulins,rate_fluoroquinolones,rate_all_antibacterials,rate_vitamin_d,rate_levothyroxine
E06000001,2011,92088,17.035878724698115,37.66071583702546,,,,,,0.499805629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000001,2012,92344,17.51386121458893,37.25959455947327,144.0,1.55938664125444,,,6.01892787519252,0.557040989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000001,2013,92465,17.931109068296113,36.75877359000703,142.0,1.535716216946953,,,6.16733426308307,0.557465374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000001,2014,92358,18.429372658567747,36.31629095476299,163.0,1.7648714783776176,128.5,1.391325061174993,6.30165342483499,0.522836745,2045071.0,67.0,15497.0,600.0,416.0,37690.0,3729.0,687.0,102908.0,126672.0,27275.0,11557.0,1189.0,79845.0,27858.0,54069.0,3539827.68,,,,,2925234.16669,,,4105655.2499700002,6111088.49911,1073274.89942,,13131.9333,847332.66648,,1377435.7,22142.867970289524,0.7254379696398796,167.79271963446587,6.496459429610862,4.504211871196865,408.085926503389,40.37549535503151,7.438446046904438,1114.2294116373243,1371.5325147794454,295.3182182377271,125.13263604668789,12.873817103012192,864.5163385954655,301.63061131683236,585.4284414993829
E06000001,2015,92125,18.629036635006784,35.96417910447761,122.0,1.3242876526458616,132.75,1.4409769335142468,6.49360763190343,0.562239945,2046677.0,120.0,15048.0,682.0,390.0,38747.0,3905.0,670.0,106756.0,126799.0,28529.0,12292.0,999.0,76191.0,31469.0,53868.0,3385170.717,,,,,2934958.00002,,,4343199.66668,6120727.6658499995,1101895.09974,,11688.00006,828700.59989,,1373304.65,22216.3039348711,1.3025780189959293,163.34328358208955,7.402985074626866,4.23337856173677,420.59158751696066,42.38805970149254,7.2727272727272725,1158.8168249660787,1376.3799185888738,309.67706919945726,133.42740841248303,10.843962008141114,827.0393487109905,341.59023066485753,584.7272727272727
E06000001,2016,92260,18.753522653370908,35.595057446347276,160.0,1.7342293518317797,167.5,1.8155213526988945,6.69988710242535,0.59975636,2070842.0,72.0,14399.0,822.0,389.0,39921.0,3785.0,529.0,111153.0,126870.0,30190.0,12692.0,966.0,71187.0,35614.0,55326.0,3176202.224,,,,,2925198.66664,,,4580013.06004,6194985.33272,1141290.8664,,10967.19998,777786.66651,,1403375.75,22445.718621287666,0.7804032083243009,156.06980273141122,8.909603295035769,4.216345111641015,432.701062215478,41.02536310427054,5.7337957944938225,1204.7799696509865,1375.1354866681118,327.22740082375896,137.56774333405593,10.470409711684372,771.5911554303057,386.0177758508563,599.6748319965315
E06000001,2017,92306,18.963014321929236,35.19381188655125,157.0,1.700864515849457,195.5,2.117955495850757,6.86987347012705,0.603716612,2072513.0,29.0,13369.0,954.0,446.0,41938.0,3325.0,485.0,115976.0,130536.0,32113.0,13249.0,770.0,61598.0,39902.0,56255.0,2942992.287,,,,,2922205.33331,,,4784067.99986,6416075.8326,1183856.03306,,8327.03324,689619.7164,,1397400.25,22452.63579832297,0.31417242649448573,144.8334886139579,10.335189478473772,4.831755248846228,454.3366628388187,36.021493727385,5.2542629948215716,1256.429701211189,1414.1659263753168,347.8972114488766,143.53346478018764,8.341819600026,667.3239009381838,432.27959179251616,609.4403397395619
E06000001,2018,92288,19.23868758668516,34.79000520110957,162.0,1.7553744798890432,268.5,2.909370665742025,7.07818718044483,0.814471066,2095475.0,25.0,12730.0,879.0,353.0,43732.0,2988.0,448.0,120229.0,138980.0,35757.0,13845.0,738.0,55598.0,42129.0,57890.0,2735201.913,,,,,2905911.3333,,,4960706.08333,6826315.33271,1258965.29988,,8814.33337,630109.23323,,1414177.9,22705.823075589462,0.2708911234396671,137.9377600554785,9.524531900138696,3.8249826629681,473.86442441054095,32.37690707350902,4.854368932038835,1302.7587552011096,1505.9379334257974,387.4501560332871,150.01950416088766,7.9967059639389735,602.4401872399445,456.4948855755895,627.2754854368932
E06000001,2019,92401,19.43485460114068,34.70741658640058,166.0,1.7965173537082932,305.25,3.3035356760208225,7.27660887905756,0.875073731,2119109.0,42.0,12197.0,901.0,317.0,44615.0,2881.0,440.0,125967.0,143244.0,37056.0,14254.0,660.0,55465.0,39686.0,59361.0,2609186.645,,,,,2770919.66663,,,5188569.00005,7189696.49961,1299091.9995,,8031.6667,613328.1166599999,,1425220.25,22933.83188493631,0.45454053527559224,132.00073592277138,9.750976721031158,3.4306988019610176,482.84109479334643,31.17931624116622,4.76185322669668,1363.2644668347743,1550.2429627384986,401.0346208374369,154.26239975757838,7.142779840045021,600.2640664062078,429.49751626064653,642.4281122498674
E06000001,2020,92202,19.611288258389187,34.83655452159389,171.0,1.8546235439578318,319.0,3.4597947983774757,7.57260878489327,0.799527884,2166076.0,76.0,10700.0,1018.0,419.0,47371.0,2924.0,423.0,139765.0,149756.0,39697.0,14498.0,712.0,52323.0,42119.0,61921.0,2348029.88,,,,,2735046.99999,,,5547401.91667,7366428.99969,1320771.99924,,8451.66667,568321.75,,1425938.375,23492.72250059652,0.8242771306479252,116.04954339385262,11.040975249994577,4.544369970282641,513.7741046831957,31.712978026507013,4.587752977158846,1515.8564890132536,1624.2163944382985,430.54380599119327,157.2417084228108,7.722175223964773,567.4822671959394,456.8122166547363,671.5797921953971
