utla,year,tb_count
E06000001,2001,4
E06000001,2002,11
E06000001,2003,6
E06000001,2004,5
E06000001,2005,2
E06000001,2006,0
E06000001,2007,6
E06000001,2008,7
E06000001,2009,10
E06000001,2010,3
E06000001,2011,6
E06000001,2012,5
E06000001,2013,6
E06000001,2014,3
E06000001,2015,2
E06000001,2016,5
E06000001,2017,2
E06000001,2018,4
E06000001,2019,1
E06000001,2020,5
E06000001,2021,3
E06000001,2022,1
E06000001,2023,5
E06000001,2024,3
E06000002,2001,23
E06000002,2002,23
E06000002,2003,18
E06000002,2004,25
E06000002,2005,16
E06000002,2006,11
E06000002,2007,31
E06000002,2008,32
E06000002,2009,25
E06000002,2010,17
E06000002,2011,18
E06000002,2012,24
E06000002,2013,14
E06000002,2014,14
E06000002,2015,13
E06000002,2016,14
E06000002,2017,19
E06000002,2018,13
E06000002,2019,13
E06000002,2020,14
E06000002,2021,10
E06000002,2022,14
E06000002,2023,13
E06000002,2024,18
E06000003,2001,9
E06000003,2002,3
E06000003,2003,4
E06000003,2004,5
E06000003,2005,0
E06000003,2006,3
E06000003,2007,6
E06000003,2008,4
E06000003,2009,6
E06000003,2010,6
E06000003,2011,4
E06000003,2012,3
E06000003,2013,4
E06000003,2014,6
E06000003,2015,2
E06000003,2016,4
E06000003,2017,3
E06000003,2018,2
E06000003,2019,2
E06000003,2020,3
E06000003,2021,0
E06000003,2022,1
E06000003,2023,3
E06000003,2024,3
E06000004,2001,13
E06000004,2002,11
E06000004,2003,9
E06000004,2004,8
E06000004,2005,16
E06000004,2006,21
E06000004,2007,20
E06000004,2008,8
E06000004,2009,8
E06000004,2010,10
E06000004,2011,11
E06000004,2012,11
E06000004,2013,10
E06000004,2014,8
E06000004,2015,9
E06000004,2016,15
E06000004,2017,7
E06000004,2018,7
E06000004,2019,7
E06000004,2020,4
E06000004,2021,6
E06000004,2022,7
E06000004,2023,15
E06000004,2024,12
E06000005,2001,3
E06000005,2002,5
E06000005,2003,6
E06000005,2004,2
E06000005,2005,4
E06000005,2006,3
E06000005,2007,1
E06000005,2008,5
E06000005,2009,2
E06000005,2010,5
E06000005,2011,0
E06000005,2012,9
E06000005,2013,5
E06000005,2014,6
E06000005,2015,5
E06000005,2016,7
E06000005,2017,2
E06000005,2018,5
E06000005,2019,2
E06000005,2020,8
E06000005,2021,2
E06000005,2022,1
E06000005,2023,1
E06000005,2024,4
E06000006,2001,1
E06000006,2002,0
E06000006,2003,4
E06000006,2004,3
E06000006,2005,1
E06000006,2006,5
E06000006,2007,3
E06000006,2008,1
E06000006,2009,2
E06000006,2010,2
E06000006,2011,0
E06000006,2012,0
E06000006,2013,2
E06000006,2014,5
E06000006,2015,2
E06000006,2016,0
E06000006,2017,2
E06000006,2018,2
E06000006,2019,1
E06000006,2020,1
E06000006,2021,0
E06000006,2022,4
E06000006,2023,3
E06000006,2024,4
E06000007,2001,1
E06000007,2002,7
E06000007,2003,3
E06000007,2004,1
E06000007,2005,6
E06000007,2006,4
E06000007,2007,9
E06000007,2008,9
E06000007,2009,12
E06000007,2010,12
E06000007,2011,6
E06000007,2012,9
E06000007,2013,14
E06000007,2014,9
E06000007,2015,8
E06000007,2016,9
E06000007,2017,5
E06000007,2018,7
E06000007,2019,7
E06000007,2020,2
E06000007,2021,4
E06000007,2022,6
E06000007,2023,9
E06000007,2024,11
E06000008,2001,44
E06000008,2002,60
E06000008,2003,34
E06000008,2004,57
E06000008,2005,57
E06000008,2006,53
E06000008,2007,50
E06000008,2008,53
E06000008,2009,62
E06000008,2010,74
E06000008,2011,42
E06000008,2012,56
E06000008,2013,59
E06000008,2014,34
E06000008,2015,35
E06000008,2016,37
E06000008,2017,32
E06000008,2018,18
