year,practice_code,lad23cd,patients,share
2014,A81001,E06000004,4157,1
2014,A81002,E06000002,1,5.07382e-05
2014,A81002,E06000003,1,5.07382e-05
2014,A81002,E06000004,19706,0.999848
2014,A81002,E06000005,1,5.07382e-05
2014,A81003,E06000001,3515,0.999431
2014,A81003,E06000047,2,0.000568666
2014,A81004,E06000002,8639,0.971329
2014,A81004,E06000003,216,0.024286
2014,A81004,E06000004,35,0.00393524
2014,A81004,E06000065,4,0.000449741
2014,A81005,E06000002,8,0.00100997
2014,A81005,E06000003,7883,0.995203
2014,A81005,E06000065,30,0.0037874
2014,A81006,E06000003,1,8.11557e-05
2014,A81006,E06000004,12321,0.999919
2014,A81007,E06000001,9474,0.999789
2014,A81007,E06000047,2,0.00021106
2014,A81008,E06000002,334,0.0785143
2014,A81008,E06000003,3911,0.91937
2014,A81008,E06000004,9,0.00211566
2014,A81009,E06000002,8754,0.951315
2014,A81009,E06000003,215,0.0233645
2014,A81009,E06000004,233,0.0253206
2014,A81011,E06000001,11051,0.996573
2014,A81011,E06000004,30,0.00270538
2014,A81011,E06000047,8,0.000721436
2014,A81012,E06000002,4354,0.931935
2014,A81012,E06000003,305,0.0652825
2014,A81012,E06000004,11,0.00235445
2014,A81012,E06000065,2,0.000428082
2014,A81013,E06000003,5677,0.998066
2014,A81013,E06000065,11,0.0019339
2014,A81014,E06000001,12,0.0031463
2014,A81014,E06000004,3802,0.996854
2014,A81015,E06000002,1,0.000339789
2014,A81015,E06000003,2942,0.99966
2014,A81016,E06000001,5,0.000523341
2014,A81016,E06000002,9215,0.964517
2014,A81016,E06000003,235,0.024597
2014,A81016,E06000004,97,0.0101528
2014,A81016,E06000065,2,0.000209336
2014,A81017,E06000002,279,0.0131461
2014,A81017,E06000004,20944,0.986854
2014,A81018,E06000002,7,0.00130695
2014,A81018,E06000003,5348,0.998506
2014,A81018,E06000004,1,0.000186706
2014,A81019,E06000002,7828,0.770169
2014,A81019,E06000003,2332,0.229437
2014,A81019,E06000004,4,0.000393546
2014,A81020,E06000002,7693,0.973921
2014,A81020,E06000003,195,0.0246867
2014,A81020,E06000004,6,0.00075959
2014,A81020,E06000065,5,0.000632992
2014,A81021,E06000002,1649,0.12378
2014,A81021,E06000003,11660,0.875244
2014,A81021,E06000004,10,0.000750638
2014,A81021,E06000065,3,0.000225191
2014,A81022,E06000002,1,9.78665e-05
2014,A81022,E06000003,10217,0.999902
2014,A81023,E06000002,7430,0.975322
2014,A81023,E06000003,184,0.0241533
2014,A81023,E06000004,3,0.000393804
2014,A81023,E06000065,1,0.000131268
2014,A81025,E06000004,4252,0.999765
2014,A81025,E06000047,1,0.000235128
2014,A81026,E06000002,13487,0.974705
2014,A81026,E06000003,341,0.0246441
2014,A81026,E06000004,3,0.00021681
2014,A81026,E06000065,6,0.00043362
2014,A81027,E06000004,12413,0.967724
2014,A81027,E06000065,414,0.0322757
2014,A81029,E06000002,5790,0.971151
2014,A81029,E06000003,170,0.0285139
2014,A81029,E06000004,2,0.000335458
2014,A81030,E06000002,10003,0.868844
2014,A81030,E06000003,1490,0.129419
2014,A81030,E06000004,8,0.000694867
2014,A81030,E06000065,12,0.0010423
2014,A81031,E06000001,12767,0.999609
2014,A81031,E06000004,1,7.82963e-05
2014,A81031,E06000047,4,0.000313185
2014,A81032,E06000002,3,0.000287329
2014,A81032,E06000003,10438,0.999713
2014,A81033,E06000002,3122,0.873043
2014,A81033,E06000003,331,0.0925615
2014,A81033,E06000004,123,0.034396
2014,A81034,E06000002,22,0.00102402
2014,A81034,E06000004,21462,0.998976
