year,age_group,birthplace,tb_count,region_name
2001,0 to 14,Non-UK born,3.0,East Midlands
2001,0 to 14,UK born,14.0,East Midlands
2001,0 to 14,All places of birth,17.0,East Midlands
2001,15 to 44,Non-UK born,54.0,East Midlands
2001,15 to 44,UK born,45.0,East Midlands
2001,15 to 44,All places of birth,99.0,East Midlands
2001,45 to 64,Non-UK born,30.0,East Midlands
2001,45 to 64,UK born,19.0,East Midlands
2001,45 to 64,All places of birth,49.0,East Midlands
2001,65 and older,Non-UK born,13.0,East Midlands
2001,65 and older,UK born,42.0,East Midlands
2001,65 and older,All places of birth,55.0,East Midlands
2002,0 to 14,Non-UK born,3.0,East Midlands
2002,0 to 14,UK born,12.0,East Midlands
2002,0 to 14,All places of birth,15.0,East Midlands
2002,15 to 44,Non-UK born,81.0,East Midlands
2002,15 to 44,UK born,45.0,East Midlands
2002,15 to 44,All places of birth,126.0,East Midlands
2002,45 to 64,Non-UK born,20.0,East Midlands
2002,45 to 64,UK born,29.0,East Midlands
2002,45 to 64,All places of birth,49.0,East Midlands
2002,65 and older,Non-UK born,12.0,East Midlands
2002,65 and older,UK born,39.0,East Midlands
2002,65 and older,All places of birth,51.0,East Midlands
2003,0 to 14,Non-UK born,5.0,East Midlands
2003,0 to 14,UK born,12.0,East Midlands
2003,0 to 14,All places of birth,17.0,East Midlands
2003,15 to 44,Non-UK born,120.0,East Midlands
2003,15 to 44,UK born,33.0,East Midlands
2003,15 to 44,All places of birth,153.0,East Midlands
2003,45 to 64,Non-UK born,40.0,East Midlands
2003,45 to 64,UK born,32.0,East Midlands
2003,45 to 64,All places of birth,72.0,East Midlands
2003,65 and older,Non-UK born,15.0,East Midlands
2003,65 and older,UK born,39.0,East Midlands
2003,65 and older,All places of birth,54.0,East Midlands
2004,0 to 14,Non-UK born,4.0,East Midlands
2004,0 to 14,UK born,10.0,East Midlands
2004,0 to 14,All places of birth,14.0,East Midlands
2004,15 to 44,Non-UK born,161.0,East Midlands
2004,15 to 44,UK born,46.0,East Midlands
2004,15 to 44,All places of birth,207.0,East Midlands
2004,45 to 64,Non-UK born,34.0,East Midlands
2004,45 to 64,UK born,23.0,East Midlands
2004,45 to 64,All places of birth,57.0,East Midlands
2004,65 and older,Non-UK born,23.0,East Midlands
2004,65 and older,UK born,31.0,East Midlands
2004,65 and older,All places of birth,54.0,East Midlands
2005,0 to 14,Non-UK born,5.0,East Midlands
2005,0 to 14,UK born,13.0,East Midlands
2005,0 to 14,All places of birth,18.0,East Midlands
2005,15 to 44,Non-UK born,196.0,East Midlands
2005,15 to 44,UK born,33.0,East Midlands
2005,15 to 44,All places of birth,229.0,East Midlands
2005,45 to 64,Non-UK born,65.0,East Midlands
2005,45 to 64,UK born,14.0,East Midlands
2005,45 to 64,All places of birth,79.0,East Midlands
2005,65 and older,Non-UK born,25.0,East Midlands
2005,65 and older,UK born,35.0,East Midlands
2005,65 and older,All places of birth,60.0,East Midlands
2006,0 to 14,Non-UK born,4.0,East Midlands
2006,0 to 14,UK born,10.0,East Midlands
2006,0 to 14,All places of birth,14.0,East Midlands
2006,15 to 44,Non-UK born,166.0,East Midlands
2006,15 to 44,UK born,39.0,East Midlands
2006,15 to 44,All places of birth,205.0,East Midlands
2006,45 to 64,Non-UK born,34.0,East Midlands
2006,45 to 64,UK born,35.0,East Midlands
2006,45 to 64,All places of birth,69.0,East Midlands
2006,65 and older,Non-UK born,29.0,East Midlands
2006,65 and older,UK born,30.0,East Midlands
2006,65 and older,All places of birth,59.0,East Midlands
2007,0 to 14,Non-UK born,4.0,East Midlands
2007,0 to 14,UK born,12.0,East Midlands
2007,0 to 14,All places of birth,16.0,East Midlands
2007,15 to 44,Non-UK born,192.0,East Midlands
2007,15 to 44,UK born,45.0,East Midlands
2007,15 to 44,All places of birth,237.0,East Midlands
2007,45 to 64,Non-UK born,51.0,East Midlands
2007,45 to 64,UK born,36.0,East Midlands
2007,45 to 64,All places of birth,87.0,East Midlands
2007,65 and older,Non-UK born,31.0,East Midlands
2007,65 and older,UK born,25.0,East Midlands
2007,65 and older,All places of birth,56.0,East Midlands
2008,0 to 14,Non-UK born,3.0,East Midlands
2008,0 to 14,UK born,16.0,East Midlands
2008,0 to 14,All places of birth,19.0,East Midlands
2008,15 to 44,Non-UK born,192.0,East Midlands
2008,15 to 44,UK born,51.0,East Midlands
2008,15 to 44,All places of birth,243.0,East Midlands
2008,45 to 64,Non-UK born,60.0,East Midlands
2008,45 to 64,UK born,27.0,East Midlands
2008,45 to 64,All places of birth,87.0,East Midlands
2008,65 and older,Non-UK born,41.0,East Midlands
2008,65 and older,UK born,24.0,East Midlands
2008,65 and older,All places of birth,65.0,East Midlands
2009,0 to 14,Non-UK born,5.0,East Midlands
2009,0 to 14,UK born,13.0,East Midlands
2009,0 to 14,All places of birth,18.0,East Midlands
2009,15 to 44,Non-UK born,228.0,East Midlands
2009,15 to 44,UK born,63.0,East Midlands
2009,15 to 44,All places of birth,291.0,East Midlands
2009,45 to 64,Non-UK born,70.0,East Midlands
2009,45 to 64,UK born,35.0,East Midlands
2009,45 to 64,All places of birth,105.0,East Midlands
2009,65 and older,Non-UK born,36.0,East Midlands
2009,65 and older,UK born,36.0,East Midlands
2009,65 and older,All places of birth,72.0,East Midlands
2010,0 to 14,Non-UK born,4.0,East Midlands
2010,0 to 14,UK born,10.0,East Midlands
2010,0 to 14,All places of birth,14.0,East Midlands
2010,15 to 44,Non-UK born,230.0,East Midlands
2010,15 to 44,UK born,70.0,East Midlands
2010,15 to 44,All places of birth,300.0,East Midlands
2010,45 to 64,Non-UK born,86.0,East Midlands
2010,45 to 64,UK born,18.0,East Midlands
2010,45 to 64,All places of birth,104.0,East Midlands
2010,65 and older,Non-UK born,31.0,East Midlands
2010,65 and older,UK born,24.0,East Midlands
2010,65 and older,All places of birth,55.0,East Midlands
2011,0 to 14,Non-UK born,6.0,East Midlands
