SICBL26CD,SICBL26CDH,SICBL26NM,ICB26NM,region,tb_count,tb_denominator,boundary_changed,tb_rate_per_100k,diabetes_prev,pct_non_uk_born,imd_score,resident_pop_mid2022,registered_patients,pct_age_65plus,pct_age_15_44,total_items,items_antituberculosis,items_oral_corticosteroids,items_inhaled_corticosteroids,items_immunosuppressants,items_proton_pump_inhibitors,items_statins,items_metformin,items_insulins,items_fluoroquinolones,items_all_antibacterials,items_vitamin_d,items_levothyroxine,rate_antituberculosis,rate_oral_corticosteroids,rate_inhaled_corticosteroids,rate_immunosuppressants,rate_proton_pump_inhibitors,rate_statins,rate_metformin,rate_insulins,rate_fluoroquinolones,rate_all_antibacterials,rate_vitamin_d,rate_levothyroxine,rate_total_items
E38000068,01F,NHS Cheshire and Merseyside ICB - 01F,NHS Cheshire and Merseyside Integrated Care Board,North West,11.0,387024.0,False,2.842201000454752,8.90085,4.784621969726444,31.117175601513082,129008,135804.0,19.43536272863833,38.49960236811876,293194,0.0,1279,7007,767,18142,19346,5161,2252,47,5753,7978,5799,0.0,9.417984742717445,51.596418367647495,5.647845424287945,133.58958499013283,142.4553032311272,38.003298871903624,16.58272215840476,0.3460870077464581,42.36252245883774,58.746428676622195,42.701245913227886,2158.9496627492563
E38000091,01J,NHS Cheshire and Merseyside ICB - 01J,NHS Cheshire and Merseyside Integrated Care Board,North West,14.0,471321.0,False,2.9703747552092947,8.5919,5.161937425178764,36.156949467560324,157107,174301.0,17.699841079511877,39.81388517564443,408348,5.0,1565,10741,591,24252,28270,7596,2822,57,8158,11259,9617,0.02868600868612343,8.978720718756634,61.62328385953035,3.3906862266997897,139.13861653117308,162.1906931113419,43.57978439595871,16.190383302448062,0.3270204990218071,46.80409177227899,64.59515435941273,55.1746691068898,2342.774854992226
E38000101,99A,NHS Cheshire and Merseyside ICB - 99A,NHS Cheshire and Merseyside Integrated Care Board,North West,135.0,1487547.0,False,9.07534350175154,6.98918,14.899416951607392,37.11011540005123,495849,597846.0,15.010889091839704,48.228808087701516,1111890,9.0,4940,26489,1615,64127,72485,20520,7705,173,21634,29911,23408,0.01505404401802471,8.262997494338007,44.30739688816183,2.701364565456656,107.26340897154117,121.24359784961344,34.32322036109633,12.88793435098671,0.2893721794575861,36.18657647621628,50.03127895812634,39.15389581932471,1859.8267781334991
E38000172,01X,NHS Cheshire and Merseyside ICB - 01X,NHS Cheshire and Merseyside Integrated Care Board,North West,14.0,554184.0,False,2.526236773346037,8.54433,5.016180346745102,28.953422372352865,184728,204610.0,20.920776110649527,37.501588387664334,472407,2.0,2082,10959,830,28822,30328,8007,3184,78,9470,12828,10370,0.009774693318997116,10.175455745075999,53.5604320414447,4.056497727383803,140.86310542006746,148.22344948927227,39.13298470260496,15.56131176384341,0.3812130394408875,46.28317286545135,62.69488294804751,50.681784859000054,2308.8167733737355
E38000170,01V,NHS Cheshire and Merseyside ICB - 01V,NHS Cheshire and Merseyside Integrated Care Board,North West,8.0,351915.0,False,2.2732762172683745,7.74889,8.096311984976978,19.11000167085802,117305,128464.0,27.705037987296052,32.47680283970607,296972,0.0,1384,5643,726,18190,21636,4801,1601,39,5461,10064,7973,0.0,10.773446257317225,43.926703200896746,5.6513887159048455,141.59608917673432,168.4207248723378,37.37233777556359,12.462635446506415,0.30358699713538423,42.50996388093162,78.34101382488478,62.0640802092415,2311.713787520239
E38000161,01T,NHS Cheshire and Merseyside ICB - 01T,NHS Cheshire and Merseyside Integrated Care Board,North West,13.0,491202.0,False,2.6465690286277335,8.1841,5.253060647240037,29.47746829003139,163734,161682.0,20.876782820598457,37.59849581276827,370144,0.0,1753,8159,594,22558,27521,6514,2176,55,6678,8944,9713,0.0,10.842270630002103,50.46325503148155,3.6738783538056183,139.5207877191029,170.21684541260004,40.288962283989555,13.458517336500043,0.3401739216486684,41.30329906854195,55.318464640467084,60.074714563154835,2289.3333828131763
E38000194,02E,NHS Cheshire and Merseyside ICB - 02E,NHS Cheshire and Merseyside Integrated Care Board,North West,26.0,635391.0,False,4.091968567386066,7.28909,9.365298297003044,16.835007743263596,211797,229918.0,19.652658773997686,37.35723170869614,385081,7.0,1743,8769,1115,23917,27683,7142,2714,79,7724,7521,7440,0.03044563714019781,7.580963647909255,38.13968458319923,4.849555058760079,104.02404335458729,120.40379613601371,31.063248636470394,11.804208456928123,0.34360076201080386,33.59458589584113,32.71166241877539,32.35936290329595,1674.8623422263588
E38000208,12F,NHS Cheshire and Merseyside ICB - 12F,NHS Cheshire and Merseyside Integrated Care Board,North West,16.0,967317.0,False,1.6540596309172693,8.19537,5.43685681715258,27.47294915317316,322439,346113.0,22.57933102772794,36.23758714639438,748081,3.0,3518,16693,1975,46008,53973,11880,4423,179,15612,18101,17223,0.008667689454022241,10.164310499750082,48.22991335199776,5.706228890564642,132.9276854668851,155.94040096731416,34.32405023792808,12.779063485046791,0.517172137423327,45.10665591873175,52.297948935752196,49.76120515554169,2161.3779314848043
E38000233,27D,NHS Cheshire and Merseyside ICB - 27D,NHS Cheshire and Merseyside Integrated Care Board,North West,72.0,2305158.0,False,3.1234301509918194,7.39757,7.853014595092988,15.848573705142988,768386,823813.0,22.41321756272358,35.805820010123654,1538501,7.0,7454,32334,4625,95574,120052,26712,9369,289,30134,37205,41051,0.008497073971884395,9.048169912346614,39.249198543844294,5.614138159995047,116.01419254126846,145.72724635323794,32.424834276710854,11.37272657751213,0.35080776826779864,36.57868958125206,45.161948160565565,49.83048337426091,1867.5366861168736
E38000126,05G,NHS Staffordshire and Stoke-on-Trent ICB - 05G,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Midlands,33.0,639774.0,False,5.158071443978655,8.82577,5.067597985091954,17.44042282118373,213258,230539.0,23.78296080055869,35.830380109222304,502076,2.0,2224,12710,1276,32326,38582,10202,3279,77,10710,10486,11852,0.008675321745995255,9.646957781546723,55.13166969579984,5.534855273944973,140.21922538052132,167.35563180199443,44.2528162263218,14.223190002559221,0.3339998872208173,46.45634794980459,45.48471191425312,51.409956666767876,2177.8354204711563
