,2014,2019,2024,pct_change_2014_2024,within_area_sd_log_rate,between_area_sd_log_rate
total,18948.251,19338.372,20783.134,9.684,0.04,0.224
antituberculosis,0.983,0.758,0.325,-66.937,0.599,0.693
oral_corticosteroids,139.328,138.93,125.627,-9.834,0.071,0.306
inhaled_corticosteroids,354.061,367.885,381.952,7.877,0.048,0.28
immunosuppressants,63.565,60.523,57.381,-9.728,0.091,0.335
proton_pump_inhibitors,954.465,1083.828,1288.377,34.984,0.113,0.292
statins,1170.16,1267.93,1535.539,31.225,0.09,0.26
metformin,345.045,398.831,450.1,30.447,0.092,0.237
insulins,119.555,131.925,146.274,22.349,0.069,0.19
fluoroquinolones,13.613,9.82,6.621,-51.365,0.232,0.227
all_antibacterials,672.38,554.769,560.231,-16.679,0.108,0.163
vitamin_d,328.751,416.883,465.272,41.527,0.133,0.265
levothyroxine,517.798,574.39,578.134,11.652,0.064,0.283
