,change_2012_13_pct,change_2013_14_pct_splice,change_2014_15_pct
total_items,2.1,2.6,1.0
antituberculosis,-2.1,-1.2,-2.2
oral_glucocorticoids,0.1,2.8,0.1
oral_hydrocortisone,4.1,5.7,4.3
oral_dexamethasone,2.9,0.1,1.7
inhaled_corticosteroids,1.4,3.8,1.3
conventional_dmards,3.4,2.9,1.6
transplant_immunosuppressants,-0.4,-4.5,-7.8
proton_pump_inhibitors,5.4,5.3,4.3
statins,3.6,2.2,1.3
metformin,5.7,4.6,4.0
insulins,2.6,2.5,2.5
fluoroquinolones,-6.9,-2.9,-9.1
all_antibacterials,-5.0,-0.6,-6.4
vitamin_d,11.3,10.0,8.4
levothyroxine,3.2,3.0,2.5
