drug,measure,n_areas,years,sd_within,sd_between,within_p95_abs
antituberculosis,items,294,2014-2024,0.5094137044994116,0.6754060398345494,1.0203960758919803
oral_glucocorticoids,items,294,2014-2024,0.0422090732492907,0.2905651448306856,0.08689551054839958
oral_hydrocortisone,items,294,2014-2024,0.09487946917952257,0.2336849491370409,0.19261283875910076
oral_dexamethasone,items,294,2014-2024,0.12168248768104234,0.35055395276272383,0.24099090628472178
inhaled_corticosteroids,items,294,2014-2024,0.031395477804735034,0.25438837266714825,0.06399233637478713
conventional_dmards,items,294,2014-2024,0.08839481422492741,0.3371020703551849,0.15891218329738346
transplant_immunosuppressants,items,294,2014-2024,0.2497595571281267,0.6807977287242709,0.48820374996589055
proton_pump_inhibitors,items,294,2014-2024,0.03586191872031532,0.2781680317689865,0.07206428610643063
statins,items,294,2014-2024,0.03629116959031963,0.2635665906591401,0.0737237470168366
metformin,items,294,2014-2024,0.0409101580495851,0.24524020832508026,0.08567904991219666
insulins,items,294,2014-2024,0.030996894219373367,0.19027835579916919,0.06111756810839344
fluoroquinolones,items,294,2014-2024,0.09986812375402024,0.26046216596876176,0.20024152807544182
all_antibacterials,items,294,2014-2024,0.03972665533897031,0.14471001440105588,0.08250001678048523
vitamin_d,items,294,2014-2024,0.08463053045735319,0.24880568254284297,0.16641001983991222
levothyroxine,items,294,2014-2024,0.04175828583521074,0.27844649402398725,0.08797168534877388
inhaled_corticosteroids,ADQ,294,2014-2024,0.05628974970712679,0.15879686424343065,0.10958366031188212
proton_pump_inhibitors,ADQ,294,2014-2024,0.027231123456756507,0.24098925120798775,0.05619365407757031
statins,ADQ,294,2014-2024,0.036153047159345524,0.18485658950886033,0.07398336809653139
metformin,ADQ,294,2014-2024,0.02647558099288735,0.1819428308496874,0.05421258549873131
fluoroquinolones,ADQ,294,2014-2024,0.096924937082851,0.24690283947680838,0.1943813889154741
all_antibacterials,ADQ,294,2014-2024,0.03892381833318454,0.12994484518848606,0.08137813430430729
levothyroxine,ADQ,294,2014-2024,0.026503167645143395,0.19323507785693633,0.054335282597441886
oral_glucocorticoids,prednisolone-equivalent mg,294,2014-2024,0.041291931356843475,0.27690520956805237,0.08631144025503142
