level,design,drug,model,term,n,spearman_rho_log,estimate,ci_low,ci_high,p,se_log_irr_10pct,elasticity,years
ltla,"cross-sectional 2019-24, adjusted",antituberculosis_active,per SD of log rate,exposure,292,0.63536946681814,1.1538615827254055,1.0804830548581106,1.2322234449705622,1.963540967253351e-05,,,
ltla,"cross-sectional 2019-24, adjusted",antituberculosis_rifamycin_isoniazid,per SD of log rate,exposure,292,0.5430925328704946,1.065312838855897,0.9998033171230138,1.1351147022565595,0.050714306857941795,,,
ltla,"cross-sectional 2019-24, adjusted",tnf_inhibitor,per SD of log rate,exposure,292,-0.1699731965510743,0.9682943510680341,0.92684290970001,1.0115996362465942,0.14892904616732394,,,
ltla,"cross-sectional 2019-24, adjusted",il6_abatacept,per SD of log rate,exposure,292,-0.19524681007146463,0.9444115617073857,0.906362447986385,0.9840579779845217,0.00641258605348517,,,
ltla,"cross-sectional 2019-24, adjusted",jak_inhibitor_rheum,per SD of log rate,exposure,292,-0.2195622280071701,0.9478708365788175,0.905340352816896,0.9923992894397582,0.022271351456896824,,,
ltla,"cross-sectional 2019-24, adjusted",rituximab,per SD of log rate,exposure,292,-0.3096817759200823,0.9736924074123088,0.9286984600269003,1.0208662392149503,0.269404544265043,,,
ltla,"cross-sectional 2019-24, adjusted",transplant_cni_mtor,per SD of log rate,exposure,292,0.1847206363421221,1.0018748888688374,0.9594570714418522,1.0461680077437185,0.9323697638413485,,,
ltla,"cross-sectional 2019-24, adjusted",antiproliferative,per SD of log rate,exposure,292,0.03417403588799137,0.9826179101672183,0.9363011415648785,1.031225867959157,0.4765904165761057,,,
ltla,"cross-sectional 2019-24, adjusted",systemic_glucocorticoid,per SD of log rate,exposure,292,-0.0037522900537081162,0.9763636747424425,0.9453155139209276,1.0084315885207245,0.1468527187710718,,,
ltla,"cross-sectional 2019-24, adjusted",glucocorticoid_dexamethasone_hydrocortisone,per SD of log rate,exposure,292,-0.33168508911749134,0.9778249867937805,0.9381567524765012,1.019170519504635,0.288564039545972,,,
ltla,"cross-sectional 2019-24, adjusted",low_tb_risk_biologic,per SD of log rate,exposure,292,-0.04893063348392299,0.9905746307676009,0.9475247128946479,1.035580482246978,0.6761390183648885,,,
ltla,"cross-sectional 2019-24, adjusted",negative_control_levetiracetam,per SD of log rate,exposure,292,0.15613623536136942,1.0157077946665511,0.9789463610883576,1.053849695094043,0.40730315999591726,,,
