level,design,drug,model,term,n,spearman_rho_log,estimate,ci_low,ci_high,p,se_log_irr_10pct,elasticity,years
utla,"cross-sectional 2019-24, adjusted",antituberculosis_active,per SD of log rate,exposure,149,0.8085144204607293,1.2246775363166635,1.1012044108892134,1.361995151061508,0.00018554551575186714,,,
utla,"cross-sectional 2019-24, adjusted",antituberculosis_rifamycin_isoniazid,per SD of log rate,exposure,149,0.7729076727734445,1.1580487668544825,1.0378182618969738,1.2922078900036922,0.00869821175241625,,,
utla,"cross-sectional 2019-24, adjusted",tnf_inhibitor,per SD of log rate,exposure,149,-0.3396807545800834,0.9570943942178497,0.906551555124419,1.010455140984798,0.11314223490565166,,,
utla,"cross-sectional 2019-24, adjusted",il6_abatacept,per SD of log rate,exposure,149,-0.2594122982042445,0.9714366491664377,0.9230340785758341,1.0223773804752165,0.266440952837417,,,
utla,"cross-sectional 2019-24, adjusted",jak_inhibitor_rheum,per SD of log rate,exposure,149,-0.31607110466170873,0.9716746450151954,0.9157324267146676,1.0310343810284155,0.34223102056969046,,,
utla,"cross-sectional 2019-24, adjusted",rituximab,per SD of log rate,exposure,149,-0.3619626337747143,0.9423694346848894,0.8861771712497819,1.0021248348971579,0.05845138328443138,,,
utla,"cross-sectional 2019-24, adjusted",transplant_cni_mtor,per SD of log rate,exposure,149,0.3877779793216035,1.049144972043465,0.9951381941579821,1.1060827318515536,0.07520379922845513,,,
utla,"cross-sectional 2019-24, adjusted",antiproliferative,per SD of log rate,exposure,149,0.11391619807727191,1.024615137010549,0.9700732756144057,1.0822235859721232,0.38359213060329955,,,
utla,"cross-sectional 2019-24, adjusted",systemic_glucocorticoid,per SD of log rate,exposure,149,0.012595682931253401,0.96981988052267,0.9291535821408583,1.012266022254241,0.16087056516162024,,,
utla,"cross-sectional 2019-24, adjusted",systemic_glucocorticoid_oral,per SD of log rate,exposure,149,-0.06338835479775078,0.9705538434785552,0.9304529113428689,1.0123830573344095,0.16504360248466787,,,
utla,"cross-sectional 2019-24, adjusted",glucocorticoid_dexamethasone_hydrocortisone,per SD of log rate,exposure,149,-0.4535534191910031,0.9338107434401189,0.893195479705072,0.97627285894026,0.002541499453923745,,,
utla,"cross-sectional 2019-24, adjusted",low_tb_risk_biologic,per SD of log rate,exposure,149,-0.08709958280428079,1.0138029653905112,0.9606300595791926,1.069919104014738,0.6179762348756144,,,
utla,"cross-sectional 2019-24, adjusted",negative_control_levetiracetam,per SD of log rate,exposure,149,0.208819154725195,1.016929936423858,0.9698883993272795,1.0662530826354062,0.4872222827916367,,,
utla,within-area FE,antituberculosis_active,concurrent (t),t,906,,1.034961092919607,1.0093351233603758,1.0612376792072684,0.0072229524190211775,0.012791844004389557,0.36054736964389816,2019-2024
utla,within-area FE,antituberculosis_active,lag (t-1),t-1,755,,1.0013370811911169,0.9930077312934912,1.0097362976844706,0.7538773809195646,0.004261743503720429,0.014019363900175576,2020-2024
utla,within-area FE,antituberculosis_active,lead (t+1),t+1,755,,1.0024578184314732,0.9917196153794268,1.0133122932633642,0.6550510179136946,0.00549472467946424,0.025755936467735947,2019-2023
utla,within-area FE,antituberculosis_active,lag and lead jointly,t-1,604,,0.9952266849020123,0.9811705923045086,1.0094841428285006,0.5096992450417785,0.007257242066706524,-0.05020181222190763,2020-2023
utla,within-area FE,antituberculosis_active,lag and lead jointly,t+1,604,,0.9966245984619113,0.9863184911447692,1.0070383949778123,0.523782958761387,0.005303495993999879,-0.035474815642664956,2020-2023
