drug,se_log_irr_10pct,mde_irr_10pct_increase,mde_irr_10pct_decrease_equiv,rr,rr_source,prevalence,prevalence_source,notes,expected_irr_10pct,expected_pct_change_tb,paf_pct,mde_pct_change_tb,mde_to_expected_ratio,rr_needed_for_80pct_power,power_for_expected
antituberculosis,0.003350576772387622,1.0094311217288865,0.9906569933045719,,,,,,,,,0.9431121728886493,,,
oral_corticosteroids,0.02652371215097128,1.0771389868969932,0.9283852986147924,4.9,"Jick SS et al. Arthritis Rheum 2006;55:19-26 (PMID 16463407): current use OR 4.9 (2.9-8.3), UK GPRD",0.009,van Staa TP et al. QJM 2000;93:105-11 (PMID 10700481): 0.9% of adults current oral glucocorticoid use,adult prevalence applied to whole population (favours detection),1.0033909767172255,0.33909767172255467,3.390976717225389,7.713898689699317,21.950713351829855,375.9177040182442,0.03345089157170073
inhaled_corticosteroids,0.035826164422457035,1.1055799652019023,0.9045026424817483,1.27,Brassard P et al. AJRCCM 2011;183:675-8 (PMID 20889902): any ICS use RR 1.27 (1.05-1.53),0.052,Bloom CI et al. ERJ 2019;53:1802130 (PMID 30765507): asthma 6.5% x 80% on ICS (derived); COPD users not included,,1.0013845607668337,0.13845607668336868,1.3845607668336555,10.557996520190226,72.54251548148389,inf,0.027344171865261516
immunosuppressants,0.014269229508710998,1.0407862763611577,0.9608120540330752,1.2,Brassard P et al. Clin Infect Dis 2006;43:717-22 (PMID 16912945): conventional DMARDs in RA RR 1.2 (1.0-1.5),0.005,"Assumed: ~57 items/1,000 residents/year in EPD 2024 and roughly one item per user per month (about 0.5%); no verified UK prevalence found",prevalence is an assumption,1.0000999000999002,0.009990009990024085,0.09990009990009989,4.0786276361157725,400.1843771771951,138.7595390214683,0.02541197508754997
proton_pump_inhibitors,0.0343040840475092,1.1008755467441123,0.9083678922268225,1.28,"Song HJ et al. Pharmacoepidemiol Drug Saf 2019;28:830-9 (PMID 30920070): recent use aOR 1.28 (1.18-1.39), Korea",0.142,Abrahami D et al. BMJ Open 2020;10:e041529 (PMID 33293322): 14.2% had >=1 PPI prescription in 2018 (CPRD),any-prescription prevalence overstates current use (favours detection),1.0038239593752405,0.3823959375240493,3.8239593752404404,10.087554674411226,25.18056308095495,inf,0.03225027188033009
statins,0.03486232469922792,1.102598617751698,0.906948352646309,0.6,"Li X et al. Front Med 2020;7:121 (PMID 32391364): pooled RR 0.60 (0.45-0.75), high heterogeneity",0.128,"O'Keeffe AG et al. Clin Epidemiol 2016;8:123-32 (PMID 27313477): 128 per 1,000 person-years in 2013 (THIN)",protective effect,0.9946037099494097,-0.539629005059028,-5.39629005059022,10.2598617751698,18.050550983431354,inf,0.03555641705754162
metformin,0.030487804162509968,1.0891680865338829,0.9181319324020527,0.51,"Zhang M, He JQ. Eur J Clin Pharmacol 2020;76:149-59 (PMID 31786617): pooled RR 0.51 (0.38-0.69) in people with diabetes",0.044,Sharma M et al. BMJ Open 2016;6:e010210 (PMID 26769791): T2DM 5.32% x 83.6% on metformin (derived),protective effect; most estimates from high-incidence settings,0.9977964923756184,-0.22035076243815954,-2.203507624381669,8.916808653388287,38.72010268167014,188.09043675097234,0.029539217964788093
insulins,0.03466666239216174,1.1019943778180359,0.9074456459387876,,,,,,,,,10.199437781803589,,,
fluoroquinolones,0.009090332800183629,1.025794405330462,0.9748542152341412,,,,,,,,,2.5794405330461956,,,
all_antibacterials,0.024144810744186593,1.069984053268152,0.9345933679531081,,,,,,,,,6.998405326815194,,,
vitamin_d,0.012854930793489611,1.0366705506159704,0.9646266110345457,,,,,,,,,3.6670550615970354,,,
levothyroxine,0.021233937502261418,1.0612937528277349,0.9422461946426969,,,,,,,,,6.129375282773486,,,
