drug,se_log_irr_10pct,mde_irr_10pct_increase,mde_irr_10pct_decrease_equiv,rr,rr_source,prevalence,prevalence_source,notes,expected_irr_10pct,expected_pct_change_tb,paf_pct,mde_pct_change_tb,mde_to_expected_ratio,rr_needed_for_80pct_power,min_detectable_paf_pct,power_for_expected
antituberculosis,0.00146713308356613,1.0041187572217383,0.9958981373546547,,,,,,,,,0.41187572217382673,,,4.118757221738264,
oral_glucocorticoids,0.01868102668911142,1.053730250694521,0.9490094825890145,4.9,"Jick SS et al. Arthritis Rheum 2006;55:19-26 (PMID 16463407): current use OR 4.9 (2.9-8.3), UK GPRD",0.009,van Staa TP et al. QJM 2000;93:105-11 (PMID 10700481): 0.9% of adults current oral glucocorticoid use,adult prevalence applied to whole population (favours detection),1.0033909767172255,0.33909767172255467,3.390976717225389,5.373025069452098,15.460198769935438,130.0265874477047,53.73025069452092,0.037640278116277195
oral_hydrocortisone,0.006022581301071386,1.0170159239867944,0.9832687732950232,,,,,,,,,1.7015923986794412,,,17.015923986794395,
oral_dexamethasone,0.005015303079331431,1.014149975405597,0.9860474527942104,,,,,,,,,1.4149975405596926,,,14.149975405596912,
inhaled_corticosteroids,0.021209665346461893,1.0612215867618977,0.9423102700457658,1.27,Brassard P et al. AJRCCM 2011;183:675-8 (PMID 20889902): any ICS use RR 1.27 (1.05-1.53),0.052,Bloom CI et al. ERJ 2019;53:1802130 (PMID 30765507): asthma 6.5% x 80% on ICS (derived); COPD users not included,,1.0013845607668337,0.13845607668336868,1.3845607668336555,6.122158676189771,42.94633549407692,31.360659672447813,61.22158676189766,0.029064128577355765
conventional_dmards,0.008670958204171453,1.0245898931994595,0.9760002578956998,1.2,Brassard P et al. Clin Infect Dis 2006;43:717-22 (PMID 16912945): conventional DMARDs in RA RR 1.2 (1.0-1.5),0.005,"Assumed: ~57 items/1,000 residents/year in EPD 2024 and roughly one item per user per month (about 0.5%); no verified UK prevalence found",prevalence is an assumption,1.0000999000999002,0.009990009990024085,0.09990009990009989,2.458989319945948,243.17935361173608,66.21643912930566,24.589893199459457,0.025680969692565513
transplant_immunosuppressants,0.0028060759053862273,1.0078924431960168,0.9921693596878354,2.0,Illustrative: primary care group includes shared-care use for autoimmune disease as well as transplant recipients,0.0005,"Derived: 5.75 items/1,000 residents in 2024 (EPD) at about one item per user per month",illustrative inputs,1.0000499750124938,0.004997501249381919,0.04997501249375313,0.7892443196016785,157.31176085387514,172.3744988983459,7.892443196016778,0.026059178105716674
proton_pump_inhibitors,0.01897672102630856,1.054603536081128,0.9482236364539105,1.28,"Song HJ et al. Pharmacoepidemiol Drug Saf 2019;28:830-9 (PMID 30920070): recent use aOR 1.28 (1.18-1.39), Korea",0.142,Abrahami D et al. BMJ Open 2020;10:e041529 (PMID 33293322): 14.2% had >=1 PPI prescription in 2018 (CPRD),any-prescription prevalence overstates current use (favours detection),1.0038239593752405,0.3823959375240493,3.8239593752404404,5.460353608112789,13.929668555232627,9.470526359068192,54.60353608112784,0.03930231243424001
statins,0.018513520255229177,1.0532358684344814,0.9494549416422642,0.6,"Li X et al. Front Med 2020;7:121 (PMID 32391364): pooled RR 0.60 (0.45-0.75), high heterogeneity",0.128,"O'Keeffe AG et al. Clin Epidemiol 2016;8:123-32 (PMID 27313477): 128 per 1,000 person-years in 2013 (THIN)",protective effect,0.9946037099494097,-0.539629005059028,-5.39629005059022,5.323586843448136,9.585684377989974,9.893680011178716,53.235868434481304,0.04768800934692063
metformin,0.0154858188176535,1.0443397223627786,0.9575428173291525,0.51,"Zhang M, He JQ. Eur J Clin Pharmacol 2020;76:149-59 (PMID 31786617): pooled RR 0.51 (0.38-0.69) in people with diabetes",0.044,Sharma M et al. BMJ Open 2016;6:e010210 (PMID 26769791): T2DM 5.32% x 83.6% on metformin (derived),protective effect; most estimates from high-incidence settings,0.9977964923756184,-0.22035076243815954,-2.203507624381669,4.433972236277861,19.667290288705345,19.104849734284002,44.33972236277857,0.03456914560104281
insulins,0.016988650204447252,1.0487459859057224,0.953519740184155,,,,,,,,,4.874598590572243,,,48.745985905722385,
fluoroquinolones,0.006297979276819942,1.017800906324154,0.9825104239802231,,,,,,,,,1.7800906324153987,,,17.80090632415397,
all_antibacterials,0.019352234077715632,1.0557135963592565,0.9472265995707633,,,,,,,,,5.5713596359256545,,,55.71359635925649,
vitamin_d,0.009465379873886924,1.0268728009794346,0.9738304481783886,,,,,,,,,2.6872800979434563,,,26.87280097943454,
levothyroxine,0.014158557537194626,1.0404636233558517,0.9611100066859208,,,,,,,,,4.046362335585174,,,40.4636233558517,
