drug,model,irr_per_sd,ci_low,ci_high,p,sd_items_per_1000,n,converged,q_fdr
antituberculosis,unadjusted,0.9559428763350747,0.6037387378089406,1.513612967973849,0.8476135779441294,0.027066963392913146,105,True,
antituberculosis,adjusted,0.8866357444963702,0.7860872309536374,1.0000454306641666,0.05008653155273857,0.027066963392913146,105,True,0.20034612621095427
antituberculosis,adjusted + region,0.911845735772571,0.8036883601854422,1.0345585267089976,0.15198302930598193,0.027066963392913146,105,True,
antituberculosis,"adjusted, boundary-stable areas",0.8855863169919834,0.7821423498491115,1.002711494902077,0.055207815140513324,0.027422597816127568,102,True,
antituberculosis,"adjusted, excluding London",0.8996716543412878,0.7938072468101628,1.019654442407425,0.09787610279358923,0.027599386742593712,100,True,
oral_corticosteroids,unadjusted,0.591234184581292,0.5309561204290599,0.6583554602121006,9.808830573984483e-22,1.9476273918878486,105,True,
oral_corticosteroids,adjusted,0.967867888990617,0.8227790024766051,1.138541756315408,0.6934762205325227,1.9476273918878486,105,True,0.8321714646390271
oral_corticosteroids,adjusted + region,0.9637269534971477,0.810061794698548,1.1465417169100298,0.6767480326696685,1.9476273918878486,105,True,
oral_corticosteroids,"adjusted, boundary-stable areas",0.9668267603553277,0.8196399311620106,1.140444662345781,0.6888908597868681,1.9438065577661172,102,True,
oral_corticosteroids,"adjusted, excluding London",0.9395590990164352,0.8090155915819759,1.0911672280856481,0.41402016361455996,1.7691262123936184,100,True,
inhaled_corticosteroids,unadjusted,0.7307443088377463,0.6399974622585962,0.8343583785696226,3.540065792311311e-06,9.097126869820885,105,True,
inhaled_corticosteroids,adjusted,1.01777406728154,0.9041902417059654,1.145626223610211,0.7704340058563232,9.097126869820885,105,True,0.8404734609341707
inhaled_corticosteroids,adjusted + region,0.9956107560545051,0.8745728348920369,1.1333999159644477,0.946968011996965,9.097126869820885,105,True,
inhaled_corticosteroids,"adjusted, boundary-stable areas",1.0233806283753486,0.9094972033968713,1.1515240581525092,0.7010076935210734,8.96124055604178,102,True,
inhaled_corticosteroids,"adjusted, excluding London",1.0253283465536038,0.9196113091966197,1.143198444530625,0.652334823257406,8.168491612079016,100,True,
immunosuppressants,unadjusted,0.6844001940151982,0.6063817323787735,0.7724566895024056,8.209584538628795e-10,1.5649672960034773,105,True,
immunosuppressants,adjusted,1.0072104275728344,0.934128820069224,1.0860095777114271,0.8517063603306798,1.5649672960034773,105,True,0.8517063603306798
immunosuppressants,adjusted + region,1.0233280519478514,0.9434767704761907,1.1099375572064614,0.5779961284714779,1.5649672960034773,105,True,
immunosuppressants,"adjusted, boundary-stable areas",1.0061058257773636,0.9313089810321556,1.0869098798352517,0.8772617963702232,1.5801885791894374,102,True,
immunosuppressants,"adjusted, excluding London",0.9580371961005664,0.8905803713883851,1.0306035239485016,0.24982912480122788,1.5120389668032788,100,True,
proton_pump_inhibitors,unadjusted,0.6615731985540836,0.5856733790380386,0.7473091875269514,3.035527128538464e-11,29.9071787237979,105,True,
proton_pump_inhibitors,adjusted,0.8919943563207324,0.7985370963746822,0.9963894417933321,0.042968322691362054,29.9071787237979,105,True,0.20034612621095427
proton_pump_inhibitors,adjusted + region,0.932542954372847,0.8161767247422338,1.0655000753973811,0.3044168347684483,29.9071787237979,105,True,
proton_pump_inhibitors,"adjusted, boundary-stable areas",0.8951830116076961,0.8011733007378334,1.0002238261472591,0.05046391660171042,29.524703558089904,102,True,
proton_pump_inhibitors,"adjusted, excluding London",0.9381855292826894,0.8464298730760502,1.0398877867539018,0.22432063254413193,28.677560272637713,100,True,
statins,unadjusted,0.6708193519740118,0.6001293426899538,0.7498360286231112,2.1052098117289764e-12,33.760223598248324,105,True,
statins,adjusted,0.9310931468958924,0.8515463726322542,1.0180707428964495,0.11713563824883312,33.760223598248324,105,True,0.28112553179719946
statins,adjusted + region,0.952660833490898,0.8579434560727595,1.0578350557295992,0.36405673721056275,33.760223598248324,105,True,
statins,"adjusted, boundary-stable areas",0.9324591271609012,0.8511929693594718,1.0214840290327576,0.1328193820655323,33.25471213016392,102,True,
statins,"adjusted, excluding London",0.9544686091180326,0.8789169181347984,1.0365147228307092,0.2680461314123691,32.758204195727345,100,True,
metformin,unadjusted,1.2387497332663369,1.0517569420409896,1.458988137211285,0.01033660994920507,8.146651187420407,105,True,
metformin,adjusted,0.9776210288727956,0.8872102181533488,1.0772451179423963,0.6475757119355892,8.146651187420407,105,True,0.8321714646390271
metformin,adjusted + region,1.0386310715840792,0.9277543806895644,1.162758727216244,0.5104993800966071,8.146651187420407,105,True,
metformin,"adjusted, boundary-stable areas",0.9799507889389394,0.8886896066099417,1.0805837511763996,0.6846919121361342,8.035174011453128,102,True,
metformin,"adjusted, excluding London",1.019430508398437,0.9288826599198092,1.1188049969015605,0.6851144495821323,8.186477594356486,100,True,
insulins,unadjusted,0.9436994695974403,0.7536504163016761,1.1816734518488048,0.6135241904355615,2.182419368764989,105,True,
insulins,adjusted,0.9699052607490993,0.8675995865031444,1.084274623297517,0.5910692040724086,2.182419368764989,105,True,0.8321714646390271
insulins,adjusted + region,0.8968366980145651,0.7892263183688949,1.0191196671798268,0.09500720145546836,2.182419368764989,105,True,
insulins,"adjusted, boundary-stable areas",0.967966189132668,0.8654750855246107,1.0825944720708849,0.5685615939900424,2.1671179616519223,102,True,
insulins,"adjusted, excluding London",0.930199635853509,0.8346832190839976,1.0366464099896142,0.19056842877744884,2.061308897771687,100,True,
fluoroquinolones,unadjusted,0.7656807522662553,0.6611612144051006,0.8867232402894805,0.00036324974032898784,0.11646986499388214,105,True,
fluoroquinolones,adjusted,0.9664537149536101,0.9034974441650121,1.033796818330617,0.32078931208865824,0.11646986499388214,105,True,0.5499245350091284
fluoroquinolones,adjusted + region,0.9453523088099746,0.8693335760118721,1.0280184873017544,0.18887964370493426,0.11646986499388214,105,True,
fluoroquinolones,"adjusted, boundary-stable areas",0.9652239796045705,0.9007133181164572,1.0343550073756391,0.3159135129116397,0.11774722442604373,102,True,
fluoroquinolones,"adjusted, excluding London",0.9476606733402827,0.8821101912481635,1.0180822766881594,0.14157542041003246,0.11682231970208233,100,True,
all_antibacterials,unadjusted,0.6460545138180939,0.5630578460014664,0.7412851766275655,4.747844125665465e-10,5.651219206350881,105,True,
all_antibacterials,adjusted,0.88682879460544,0.7761156273631622,1.013335234098221,0.07752005734398106,5.651219206350881,105,True,0.23256017203194318
all_antibacterials,adjusted + region,0.8904175773749138,0.7625492187967994,1.0397275907635333,0.14226509153826783,5.651219206350881,105,True,
all_antibacterials,"adjusted, boundary-stable areas",0.8889340446772597,0.7759056898468446,1.018427556501422,0.08973501990858715,5.673980801175122,102,True,
all_antibacterials,"adjusted, excluding London",0.912383156949094,0.8088529080833281,1.0291649034890245,0.13565887115692118,5.0890182052836925,100,True,
vitamin_d,unadjusted,0.7340021458725169,0.6495857461193285,0.8293888118143681,7.017506496945469e-07,13.093246480021612,105,True,
vitamin_d,adjusted,0.9475882385177891,0.8783786581961984,1.0222510091731787,0.16415159217615805,13.093246480021612,105,True,0.3283031843523161
vitamin_d,adjusted + region,0.9827509281245654,0.9076684101988599,1.0640442874045808,0.6678584278709643,13.093246480021612,105,True,
vitamin_d,"adjusted, boundary-stable areas",0.9466678898510427,0.8773735967882471,1.0214349929786155,0.15761773581778604,13.145715219690041,102,True,
vitamin_d,"adjusted, excluding London",0.9726434631050854,0.9053731041731088,1.0449120942079257,0.4481279892746204,13.266268506455473,100,True,
levothyroxine,unadjusted,0.644146975064174,0.5748747399639181,0.7217664938806811,3.542007719097068e-14,12.85612234862837,105,True,
levothyroxine,adjusted,0.9358357249542584,0.8793793572908477,0.9959166050915184,0.03672130921588057,12.85612234862837,105,True,0.20034612621095427
levothyroxine,adjusted + region,0.9534689100202082,0.8826754999596982,1.0299401789407683,0.22608618927169355,12.85612234862837,105,True,
levothyroxine,"adjusted, boundary-stable areas",0.9371439557376428,0.8790630111597245,0.999062391007625,0.04673432203182001,12.86238075675385,102,True,
levothyroxine,"adjusted, excluding London",0.9385323105707135,0.8847325414363545,0.9956035940027284,0.03518226907516372,12.533078276916484,100,True,
