drug,unadjusted,adjusted,adjusted + region,"adjusted, boundary-stable areas","adjusted, excluding London"
antituberculosis,0.96 (0.60-1.51),0.89 (0.79-1.00),0.91 (0.80-1.03),0.89 (0.78-1.00),0.90 (0.79-1.02)
oral_corticosteroids,0.59 (0.53-0.66),0.97 (0.82-1.14),0.96 (0.81-1.15),0.97 (0.82-1.14),0.94 (0.81-1.09)
inhaled_corticosteroids,0.73 (0.64-0.83),1.02 (0.90-1.15),1.00 (0.87-1.13),1.02 (0.91-1.15),1.03 (0.92-1.14)
immunosuppressants,0.68 (0.61-0.77),1.01 (0.93-1.09),1.02 (0.94-1.11),1.01 (0.93-1.09),0.96 (0.89-1.03)
proton_pump_inhibitors,0.66 (0.59-0.75),0.89 (0.80-1.00),0.93 (0.82-1.07),0.90 (0.80-1.00),0.94 (0.85-1.04)
statins,0.67 (0.60-0.75),0.93 (0.85-1.02),0.95 (0.86-1.06),0.93 (0.85-1.02),0.95 (0.88-1.04)
metformin,1.24 (1.05-1.46),0.98 (0.89-1.08),1.04 (0.93-1.16),0.98 (0.89-1.08),1.02 (0.93-1.12)
insulins,0.94 (0.75-1.18),0.97 (0.87-1.08),0.90 (0.79-1.02),0.97 (0.87-1.08),0.93 (0.83-1.04)
fluoroquinolones,0.77 (0.66-0.89),0.97 (0.90-1.03),0.95 (0.87-1.03),0.97 (0.90-1.03),0.95 (0.88-1.02)
all_antibacterials,0.65 (0.56-0.74),0.89 (0.78-1.01),0.89 (0.76-1.04),0.89 (0.78-1.02),0.91 (0.81-1.03)
vitamin_d,0.73 (0.65-0.83),0.95 (0.88-1.02),0.98 (0.91-1.06),0.95 (0.88-1.02),0.97 (0.91-1.04)
levothyroxine,0.64 (0.57-0.72),0.94 (0.88-1.00),0.95 (0.88-1.03),0.94 (0.88-1.00),0.94 (0.88-1.00)
