drug,exposure_window,model,converged,irr_10pct,ci_low,ci_high,p,n_obs,q_fdr
antituberculosis,primary: t-5..t-3,FE only,True,1.0055064965674587,0.999078275123525,1.0119760781650071,0.09331043380600053,863,
antituberculosis,primary: t-5..t-3,FE + time-varying,True,1.0055242869840868,0.9989426336800176,1.0121493043000167,0.10012460663646114,863,0.5920119890534986
antituberculosis,primary: t-5..t-3,FE + time-varying + total prescribing,True,1.0042491377352067,0.9982622938949495,1.0102718862664326,0.16456114054586657,863,
oral_corticosteroids,primary: t-5..t-3,FE only,True,0.99568548277418,0.9490467586273967,1.04461615994674,0.8597791355605436,863,
oral_corticosteroids,primary: t-5..t-3,FE + time-varying,True,1.0013239318392555,0.9505994776114833,1.0547550678160755,0.9602156787637359,863,0.9602156787637359
oral_corticosteroids,primary: t-5..t-3,FE + time-varying + total prescribing,True,0.96716503240466,0.9201061744765539,1.0166307170348665,0.18955961419609457,863,
inhaled_corticosteroids,primary: t-5..t-3,FE only,True,0.9977142303923757,0.9354753214775653,1.064094009401747,0.9444854392115969,863,
inhaled_corticosteroids,primary: t-5..t-3,FE + time-varying,True,1.0126425769051761,0.9439758788857153,1.0863042282093136,0.7258276294306814,863,0.9602156787637359
inhaled_corticosteroids,primary: t-5..t-3,FE + time-varying + total prescribing,True,0.9809119695654199,0.912846004069394,1.0540532441916308,0.5994037434235389,863,
immunosuppressants,primary: t-5..t-3,FE only,True,1.003217536324648,0.9754262094408718,1.031800678973149,0.8226635535861362,863,
immunosuppressants,primary: t-5..t-3,FE + time-varying,True,1.0056842602057665,0.9779477750042667,1.0342074056267547,0.6911924936177443,863,0.9602156787637359
immunosuppressants,primary: t-5..t-3,FE + time-varying + total prescribing,True,0.9996769870517147,0.9751801695906381,1.0247891718925168,0.9796383569976698,863,
proton_pump_inhibitors,primary: t-5..t-3,FE only,True,1.0018340791198639,0.9450728634770519,1.0620043817503144,0.9508999118236479,863,
proton_pump_inhibitors,primary: t-5..t-3,FE + time-varying,True,1.0065195389257429,0.9410712823141442,1.076519495683758,0.8497495213188133,863,0.9602156787637359
proton_pump_inhibitors,primary: t-5..t-3,FE + time-varying + total prescribing,True,0.9125332426030417,0.8360745256225823,0.995984081963913,0.040351676876285,863,
statins,primary: t-5..t-3,FE only,True,1.0230264093009374,0.9651646953861898,1.084356938385942,0.4434507447262349,863,
statins,primary: t-5..t-3,FE + time-varying,True,1.0309268517145693,0.9628374785790056,1.103831328995057,0.3822878972076802,863,0.6756305109295525
statins,primary: t-5..t-3,FE + time-varying + total prescribing,True,0.9625438888984116,0.8796689521301614,1.0532265982698776,0.4059363822744181,863,
metformin,primary: t-5..t-3,FE only,True,0.9988926048747411,0.9505697925791764,1.0496719376766186,0.9650663319646329,863,
metformin,primary: t-5..t-3,FE + time-varying,True,0.9982338360832981,0.9403315778257066,1.0597015084888235,0.9537625993708821,863,0.9602156787637359
metformin,primary: t-5..t-3,FE + time-varying + total prescribing,True,0.9231841720996985,0.8658691561179055,0.9842930766081616,0.014520432069960511,863,
insulins,primary: t-5..t-3,FE only,True,1.0392099592048458,0.9711299205165297,1.1120626771916613,0.2658928273136627,863,
insulins,primary: t-5..t-3,FE + time-varying,True,1.0409769045696924,0.9725966686895585,1.1141647413902271,0.2466716621056244,863,0.5920119890534986
insulins,primary: t-5..t-3,FE + time-varying + total prescribing,True,1.016053796790304,0.9420617666854463,1.0958573572137105,0.6797198958915809,863,
fluoroquinolones,primary: t-5..t-3,FE only,True,1.0128567028838726,0.9949251918972241,1.0311113930289975,0.16099351823002206,863,
fluoroquinolones,primary: t-5..t-3,FE + time-varying,True,1.014234958241898,0.9963246384104869,1.0324672409597986,0.11996218818375158,863,0.5920119890534986
fluoroquinolones,primary: t-5..t-3,FE + time-varying + total prescribing,True,1.0105890028612163,0.9931777373244712,1.0283055029558845,0.2348535597533551,863,
all_antibacterials,primary: t-5..t-3,FE only,True,1.0151994718925366,0.9661646774321149,1.0667228804825561,0.5503497889543179,863,
all_antibacterials,primary: t-5..t-3,FE + time-varying,True,1.0302531915372146,0.9826341841042332,1.0801798429597746,0.21704182106893732,863,0.5920119890534986
all_antibacterials,primary: t-5..t-3,FE + time-varying + total prescribing,True,1.0089501946586183,0.9669525968094878,1.0527718718172383,0.6812417141792324,863,
vitamin_d,primary: t-5..t-3,FE only,True,1.0101589664463455,0.985371750723895,1.035569709343002,0.42520704010322485,863,
vitamin_d,primary: t-5..t-3,FE + time-varying,True,1.0184235613463302,0.9930847235954943,1.0444089267128953,0.1555570169159585,863,0.5920119890534986
vitamin_d,primary: t-5..t-3,FE + time-varying + total prescribing,True,1.0104585239868595,0.9850298959400888,1.036543594164987,0.423659509893929,863,
levothyroxine,primary: t-5..t-3,FE only,True,0.9883656341512392,0.95109678628269,1.0270948665374124,0.550677052113258,863,
levothyroxine,primary: t-5..t-3,FE + time-varying,True,0.9820680590028892,0.94203540586947,1.0238019362165451,0.394117798042239,863,0.6756305109295525
levothyroxine,primary: t-5..t-3,FE + time-varying + total prescribing,True,0.9403868527959542,0.9002797964306242,0.9822806603209454,0.005710415135096778,863,
antituberculosis,lag: t-3 only,FE only,True,1.0023419680771732,0.9988885304918004,1.0058073451640939,0.18403065473877966,1151,
antituberculosis,lag: t-3 only,FE + time-varying,True,1.001653215110856,0.9984977932063401,1.004818608682273,0.30483108823582417,1151,
oral_corticosteroids,lag: t-3 only,FE only,True,0.986678520945991,0.9405000530461316,1.03512434746074,0.5834265659325779,1151,
oral_corticosteroids,lag: t-3 only,FE + time-varying,True,0.9985148634727825,0.9582638831187154,1.04045654870262,0.9435587630605183,1151,
inhaled_corticosteroids,lag: t-3 only,FE only,True,0.9888810781353936,0.9383481825461456,1.0421353234156538,0.6760893684402378,1151,
inhaled_corticosteroids,lag: t-3 only,FE + time-varying,True,1.0112593299634516,0.9615511746366086,1.063537188048893,0.6632848781404388,1151,
immunosuppressants,lag: t-3 only,FE only,True,1.0082306952678073,0.9875760881267287,1.0293172820824332,0.4376374091199542,1151,
immunosuppressants,lag: t-3 only,FE + time-varying,True,1.0067756220222246,0.9872784461332588,1.0266578360624172,0.49853374248695836,1151,
proton_pump_inhibitors,lag: t-3 only,FE only,True,0.9877223388352458,0.9432275454137266,1.0343160813928987,0.5993754629839125,1151,
proton_pump_inhibitors,lag: t-3 only,FE + time-varying,True,1.0018957471712846,0.957375091344919,1.0484867397059356,0.9349105166092068,1151,
statins,lag: t-3 only,FE only,True,0.9974288835550585,0.9552662637942559,1.0414524363064528,0.9069965374252401,1151,
statins,lag: t-3 only,FE + time-varying,True,1.0079667908097163,0.9633967368496671,1.054598809102858,0.730919939875776,1151,
metformin,lag: t-3 only,FE only,True,0.9627875025779227,0.9241525471010987,1.0030376240675205,0.06954702932542428,1151,
metformin,lag: t-3 only,FE + time-varying,True,0.9743969218157552,0.9329003426376999,1.017739320964904,0.24277113883682966,1151,
insulins,lag: t-3 only,FE only,True,1.0115265536597053,0.9660593537291448,1.0591336493032424,0.6252510233448767,1151,
insulins,lag: t-3 only,FE + time-varying,True,1.0093668235291835,0.9648953392016972,1.05588797359547,0.6850748866851264,1151,
fluoroquinolones,lag: t-3 only,FE only,True,1.0098169487739421,0.9962501296134829,1.023568519310247,0.15689285640196618,1151,
fluoroquinolones,lag: t-3 only,FE + time-varying,True,1.0047557404889473,0.9918583269756682,1.0178208627069965,0.47166122124367227,1151,
all_antibacterials,lag: t-3 only,FE only,True,1.015376272862134,0.9730392438744538,1.0595553899616632,0.4825345501135526,1151,
all_antibacterials,lag: t-3 only,FE + time-varying,True,1.0170012911783017,0.9831503738142832,1.0520177317795645,0.3290162599630875,1151,
vitamin_d,lag: t-3 only,FE only,True,1.0112956374790167,0.9904188324928725,1.0326124997138022,0.29124161354884437,1151,
vitamin_d,lag: t-3 only,FE + time-varying,True,1.0077768567050165,0.9879936494246466,1.0279561953679373,0.44376256525939894,1151,
levothyroxine,lag: t-3 only,FE only,True,0.9625235042731548,0.9321802552397639,0.9938544515083979,0.019429010026979526,1151,
levothyroxine,lag: t-3 only,FE + time-varying,True,0.9721376119200624,0.9393172439951272,1.0061047452829948,0.10681743386281099,1151,
antituberculosis,concurrent: t-2..t,FE only,True,1.003242596151449,0.998099263776581,1.0084124327718151,0.21701621735158005,1297,
antituberculosis,concurrent: t-2..t,FE + time-varying,True,1.0000197170098788,0.995697515798429,1.0043606803684826,0.9928814671120679,1297,
oral_corticosteroids,concurrent: t-2..t,FE only,True,0.9699758452608939,0.9152915402198143,1.0279272767708882,0.30317613824654766,1297,
oral_corticosteroids,concurrent: t-2..t,FE + time-varying,True,0.9781764546636257,0.930946112506316,1.0278029669003086,0.38217674327825035,1297,
inhaled_corticosteroids,concurrent: t-2..t,FE only,True,0.9355720612508734,0.8907387198106581,0.9826619886685372,0.00785876629994573,1297,
inhaled_corticosteroids,concurrent: t-2..t,FE + time-varying,True,0.9630728491822046,0.9177389841416816,1.0106460865878826,0.12613558185381643,1297,
immunosuppressants,concurrent: t-2..t,FE only,True,1.0121297103130797,0.9901004644435317,1.034649096012886,0.28287992599947753,1297,
immunosuppressants,concurrent: t-2..t,FE + time-varying,True,1.0093106889894907,0.9879640871209381,1.0311185195780694,0.39546924919697835,1297,
proton_pump_inhibitors,concurrent: t-2..t,FE only,True,0.9738396393023965,0.9219365922157,1.0286647162983402,0.3428064033491376,1297,
proton_pump_inhibitors,concurrent: t-2..t,FE + time-varying,True,0.9997839142541411,0.9527750804699603,1.0491121101827001,0.9929826305693109,1297,
statins,concurrent: t-2..t,FE only,True,0.9843049875997408,0.935986322292083,1.0351180199312628,0.537896240616989,1297,
statins,concurrent: t-2..t,FE + time-varying,True,1.0013987738373344,0.9555771812929224,1.049417591665491,0.9533557189439273,1297,
metformin,concurrent: t-2..t,FE only,True,0.9492876412066453,0.9107737105723134,0.9894302122328634,0.01378346257789768,1297,
metformin,concurrent: t-2..t,FE + time-varying,True,0.9696101467883925,0.9333445414154061,1.0072848718108867,0.11255993003935479,1297,
insulins,concurrent: t-2..t,FE only,True,0.9615931253386756,0.9148629770771716,1.0107101958073923,0.12335096765833783,1297,
insulins,concurrent: t-2..t,FE + time-varying,True,0.971293574594035,0.9265948595541584,1.0181485449871706,0.22561143021879015,1297,
fluoroquinolones,concurrent: t-2..t,FE only,True,1.0054759967443045,0.9877783962695422,1.023490677511314,0.5466726355281752,1297,
fluoroquinolones,concurrent: t-2..t,FE + time-varying,True,0.9996766548135506,0.9838440459351425,1.0157640515365693,0.9683288599654677,1297,
all_antibacterials,concurrent: t-2..t,FE only,True,0.9937822781866782,0.9474071786295274,1.042427415281487,0.798100306525173,1297,
all_antibacterials,concurrent: t-2..t,FE + time-varying,True,0.9933939390267169,0.9575454053136541,1.0305845682291894,0.7237495181728104,1297,
vitamin_d,concurrent: t-2..t,FE only,True,1.0093351432985338,0.9842814375329911,1.0350265611539842,0.46872174936889643,1297,
