drug,exposure_window,model,converged,irr_10pct,ci_low,ci_high,p,n_obs,q_fdr
antituberculosis,primary: t-3..t-1,FE only,True,1.00564440489441,1.0005032230686046,1.010812005176405,0.031366865167166455,1191,
antituberculosis,primary: t-3..t-1,FE + time-varying,True,1.0042250354341706,0.9991003585599387,1.0093759982694075,0.10626872439272463,1191,0.7088941289462586
antituberculosis,primary: t-3..t-1,FE + time-varying + total prescribing,True,1.0041629536011318,0.9993450557189655,1.0090040788359227,0.09045477466015125,1191,
antituberculosis,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,1.0043460724766746,0.9976756010654673,1.0110611427422591,0.2021207049144087,893,
oral_corticosteroids,primary: t-3..t-1,FE only,True,0.9766957731489465,0.930137923517687,1.0255840657257955,0.3440224816602411,1191,
oral_corticosteroids,primary: t-3..t-1,FE + time-varying,True,0.9855844416499242,0.9397339068499748,1.0336720688077392,0.5502241807867037,1191,0.8253362711800555
oral_corticosteroids,primary: t-3..t-1,FE + time-varying + total prescribing,True,0.9713337544291248,0.9242582914613039,1.0208069229237535,0.25116889688874056,1191,
oral_corticosteroids,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,0.9849510803320445,0.9361177496244978,1.0363318407715336,0.5589125668234345,893,
inhaled_corticosteroids,primary: t-3..t-1,FE only,True,0.9510749506139142,0.9004978336248931,1.0044927682325238,0.07198464581729941,1191,
inhaled_corticosteroids,primary: t-3..t-1,FE + time-varying,True,0.9676383867999915,0.9092137227509547,1.0298173291708677,0.30052060819041004,1191,0.8253362711800555
inhaled_corticosteroids,primary: t-3..t-1,FE + time-varying + total prescribing,True,0.9532978631657224,0.8926292271415349,1.0180899171613582,0.15398070381100964,1191,
inhaled_corticosteroids,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,0.9615090430354715,0.9012493163149082,1.025797882010216,0.23457309056932518,893,
immunosuppressants,primary: t-3..t-1,FE only,True,1.008839360690338,0.9825271441785388,1.0358562220985823,0.5139599786997104,1191,
immunosuppressants,primary: t-3..t-1,FE + time-varying,True,1.0096040594818638,0.9852262977647368,1.0345850077640324,0.4433976625091177,1191,0.8253362711800555
immunosuppressants,primary: t-3..t-1,FE + time-varying + total prescribing,True,1.009021923259513,0.98538321334385,1.0332277106318548,0.45773654959228716,1191,
immunosuppressants,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,1.0113915109245506,0.9876330673349292,1.0357214862504718,0.35032801706173444,893,
proton_pump_inhibitors,primary: t-3..t-1,FE only,True,0.9597722016723541,0.9075516116847957,1.014997568450057,0.1502992894597091,1191,
proton_pump_inhibitors,primary: t-3..t-1,FE + time-varying,True,0.9669551650216026,0.9137953315553046,1.023207559586188,0.24411453513281867,1191,0.8253362711800555
proton_pump_inhibitors,primary: t-3..t-1,FE + time-varying + total prescribing,True,0.895368243781701,0.8272679607404436,0.969074507920242,0.006175182808715176,1191,
proton_pump_inhibitors,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,0.9663752886708113,0.9106378913325374,1.025524203903974,0.2591286273676401,893,
statins,primary: t-3..t-1,FE only,True,0.9954691974083657,0.9421542619450338,1.0518011359870802,0.8715456914132681,1191,
statins,primary: t-3..t-1,FE + time-varying,True,1.011918368260734,0.9514276906126802,1.0762549735798277,0.7063689014813912,1191,0.8937953327162971
statins,primary: t-3..t-1,FE + time-varying + total prescribing,True,1.0121191747115235,0.9240360301849624,1.1085987887438615,0.7953919760532,1191,
statins,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,1.014440711034017,0.9530661931744293,1.079767558196096,0.6525069232571702,893,
metformin,primary: t-3..t-1,FE only,True,0.9693316151907678,0.9237085129896624,1.0172080986535827,0.20538740480506734,1191,
metformin,primary: t-3..t-1,FE + time-varying,True,0.9785482400691026,0.9277753171795189,1.0320997340750084,0.4250323341288912,1191,0.8253362711800555
metformin,primary: t-3..t-1,FE + time-varying + total prescribing,True,0.9393397671458279,0.8771171095202237,1.0059764979664139,0.07351920321996973,1191,
metformin,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,0.9828523278713904,0.9285950638251864,1.0402798119806356,0.5505118379737518,893,
insulins,primary: t-3..t-1,FE only,True,0.986450071589231,0.9237777253599668,1.0533743313189536,0.6837456131399522,1191,
insulins,primary: t-3..t-1,FE + time-varying,True,0.9888094748411722,0.9240171495139556,1.0581450550457643,0.7448294439302476,1191,0.8937953327162971
insulins,primary: t-3..t-1,FE + time-varying + total prescribing,True,0.9809554261288415,0.9101433885754451,1.0572768644265667,0.6149626003810897,1191,
insulins,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,0.9863268880745175,0.9134047786440456,1.0650707691533532,0.7253505350031051,893,
fluoroquinolones,primary: t-3..t-1,FE only,True,1.000897531313324,0.9794017001574025,1.0228651512735836,0.9354485732567049,1191,
fluoroquinolones,primary: t-3..t-1,FE + time-varying,True,0.9998862534969968,0.9789341105684819,1.021286835486484,0.9915999366467966,1191,0.9915999366467966
fluoroquinolones,primary: t-3..t-1,FE + time-varying + total prescribing,True,0.9989671178716799,0.9777464180034184,1.0206483851167243,0.9248437867981076,1191,
fluoroquinolones,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,0.9956166327663942,0.9743726883745535,1.01732375226434,0.6897398431526824,893,
all_antibacterials,primary: t-3..t-1,FE only,True,0.9910689393428009,0.9438764383523157,1.0406209993383024,0.7185477017284625,1191,
all_antibacterials,primary: t-3..t-1,FE + time-varying,True,0.9951687236794663,0.9515443894965213,1.0407930512982533,0.832295923028999,1191,0.907959188758908
all_antibacterials,primary: t-3..t-1,FE + time-varying + total prescribing,True,0.9879548891526124,0.9452566621467583,1.0325818395015034,0.5908486936812953,1191,
all_antibacterials,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,0.9946893986507903,0.9498231997076472,1.04167491391325,0.821107709275746,893,
