drug,exposure_window,model,converged,irr_10pct,ci_low,ci_high,p,n_obs,q_fdr
antituberculosis,primary: t-3..t-1,FE only,True,1.0035087064154562,0.999264332600107,1.007771108202481,0.1053005918766991,2335,
antituberculosis,primary: t-3..t-1,FE + time-varying,True,1.0019799568914247,0.9978160513683375,1.0061612384721341,0.3518682636341962,2335,0.6503366385425615
antituberculosis,primary: t-3..t-1,FE + time-varying + total prescribing,True,1.0020441823691746,0.9979971550250678,1.006107621012894,0.32265405911979206,2335,
antituberculosis,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,1.0018146191398265,0.9965964513124755,1.007060109235322,0.49623206739004666,1751,
antituberculosis,primary: t-3..t-1,FE + time-varying + asylum support,True,1.0027974344000183,0.9981191469380247,1.007497649478213,0.2416381943977175,1926,
oral_corticosteroids,primary: t-3..t-1,FE only,True,0.9729023085835127,0.9335724635656915,1.0138890541307453,0.19194729385480802,2335,
oral_corticosteroids,primary: t-3..t-1,FE + time-varying,True,0.9819069679932202,0.9440648175263149,1.0212659934938888,0.362520766307201,2335,0.6503366385425615
oral_corticosteroids,primary: t-3..t-1,FE + time-varying + total prescribing,True,0.9744470008919838,0.93338029186031,1.0173205560777914,0.23867388291224334,2335,
oral_corticosteroids,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,0.9791469329220499,0.9384794729861914,1.0215766501530756,0.33021586232324607,1751,
oral_corticosteroids,primary: t-3..t-1,FE + time-varying + asylum support,True,0.9807133448414073,0.939871136472387,1.0233303560740619,0.36953004750141627,1926,
inhaled_corticosteroids,primary: t-3..t-1,FE only,True,0.9503148378252679,0.9058866769996184,0.9969219262413832,0.03696054101688445,2335,
inhaled_corticosteroids,primary: t-3..t-1,FE + time-varying,True,0.9748149730411586,0.9249806941789827,1.0273341245340195,0.3407214855484644,2335,0.6503366385425615
inhaled_corticosteroids,primary: t-3..t-1,FE + time-varying + total prescribing,True,0.9676346857073864,0.9126660026048364,1.025914060906941,0.27020000379425646,2335,
inhaled_corticosteroids,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,0.9710000410963302,0.9188401023319304,1.026120951203841,0.29617915998721067,1751,
inhaled_corticosteroids,primary: t-3..t-1,FE + time-varying + asylum support,True,0.9688253171667591,0.9174976040202443,1.0230244646639546,0.25413398712100577,1926,
immunosuppressants,primary: t-3..t-1,FE only,True,1.0012678156031813,0.9804563822020418,1.0225209981408172,0.9058844335316526,2335,
immunosuppressants,primary: t-3..t-1,FE + time-varying,True,1.0018430126181463,0.9822196938908738,1.0218583766691556,0.8552363831600034,2335,0.9619042606821167
immunosuppressants,primary: t-3..t-1,FE + time-varying + total prescribing,True,1.0022053326639002,0.9826706146800899,1.022128385457978,0.8263788693766154,2335,
immunosuppressants,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,1.0020000465683352,0.9819209703035746,1.022489715249226,0.8465963308464375,1751,
immunosuppressants,primary: t-3..t-1,FE + time-varying + asylum support,True,1.0004865202409787,0.9795119260179233,1.0219102499887136,0.9641102914984424,1926,
proton_pump_inhibitors,primary: t-3..t-1,FE only,True,0.9548246409095875,0.9054178350701129,1.0069274754428978,0.08813332781417768,2335,
proton_pump_inhibitors,primary: t-3..t-1,FE + time-varying,True,0.9687130055522092,0.9181671558036321,1.022041445497633,0.24499329346679355,2335,0.6503366385425615
proton_pump_inhibitors,primary: t-3..t-1,FE + time-varying + total prescribing,True,0.9193745191302366,0.8527153796430242,0.9912445894664221,0.028596978878906876,2335,
proton_pump_inhibitors,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,0.968221657376405,0.9146815785030775,1.0248956575105646,0.2658319369715132,1751,
proton_pump_inhibitors,primary: t-3..t-1,FE + time-varying + asylum support,True,0.9656993754624505,0.9123908066295079,1.0221226222276651,0.2283095821281549,1926,
statins,primary: t-3..t-1,FE only,True,0.9870925193613991,0.9388401396535105,1.0378248656249716,0.6114095953704275,2335,
statins,primary: t-3..t-1,FE + time-varying,True,1.0013402696171918,0.9477905015003197,1.0579155773030207,0.9619042606821167,2335,0.9619042606821167
statins,primary: t-3..t-1,FE + time-varying + total prescribing,True,1.0104355430278638,0.9326979323034578,1.094652353407205,0.7993641494263809,2335,
statins,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,1.0013087259101332,0.9459280920506793,1.059931693549976,0.9640641755764308,1751,
statins,primary: t-3..t-1,FE + time-varying + asylum support,True,0.9998839162856441,0.9431373815482875,1.0600447671848854,0.9968927497205857,1926,
metformin,primary: t-3..t-1,FE only,True,0.9685743981275132,0.9268607013053617,1.0121654347701143,0.15513533704413154,2335,
metformin,primary: t-3..t-1,FE + time-varying,True,0.9786565025252469,0.9335161837934863,1.0259795883161973,0.37053716163673645,2335,0.6503366385425615
metformin,primary: t-3..t-1,FE + time-varying + total prescribing,True,0.957576652931227,0.9019968455891086,1.0165812117004631,0.15533284596527266,2335,
metformin,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,0.9802173864659782,0.932475533809695,1.0304035761717734,0.4328483484086141,1751,
metformin,primary: t-3..t-1,FE + time-varying + asylum support,True,0.9806130228561072,0.9315639968333732,1.0322445949647319,0.45458352541755576,1926,
