drug,term,+ LTBI programme (t-1),+ area trends (t-1),+ asylum support (t-1),ADQ measure (t-1),EPD exposure only (t-1),FE only (t-1),"distributed lag (t, t-1, t-2)",exclude COVID years (t-1),"lag and lead (t-1, t+1)","lag, same year and lead (t-1, t, t+1)",outcome years 2018-2024 (t-1),population covariate (t-1),primary (t-1),prior 3 years (t-3..t-1)
all_antibacterials,exposure,,,,,,,1.010 (0.978-1.043),,,1.049 (0.997-1.103),,,,
all_antibacterials,exposure_lag-1,,,,,,,,,0.988 (0.959-1.018),0.965 (0.927-1.005),,,,
all_antibacterials,exposure_lag1,0.991 (0.953-1.031),0.981 (0.945-1.019),0.993 (0.956-1.032),0.992 (0.957-1.028),0.994 (0.957-1.031),0.999 (0.957-1.043),0.962 (0.922-1.005),1.008 (0.967-1.052),1.003 (0.963-1.044),0.979 (0.935-1.024),0.966 (0.925-1.010),0.998 (0.961-1.035),0.995 (0.958-1.033),
all_antibacterials,exposure_lag2,,,,,,,1.031 (0.989-1.076),,,,,,,
all_antibacterials,exposure_prior3,,,,,,,,,,,,,,1.008 (0.966-1.052)
antituberculosis,exposure,,,,,,,0.999 (0.996-1.003),,,0.999 (0.996-1.003),,,,
antituberculosis,exposure_lag-1,,,,,,,,,1.002 (0.998-1.005),1.002 (0.999-1.006),,,,
antituberculosis,exposure_lag1,1.001 (0.998-1.004),1.000 (0.996-1.003),1.001 (0.998-1.004),,1.001 (0.998-1.004),1.002 (0.999-1.005),1.001 (0.998-1.004),1.000 (0.997-1.004),1.000 (0.997-1.003),1.000 (0.997-1.004),1.002 (0.998-1.005),1.001 (0.998-1.004),1.001 (0.998-1.003),
antituberculosis,exposure_lag2,,,,,,,1.000 (0.997-1.003),,,,,,,
antituberculosis,exposure_prior3,,,,,,,,,,,,,,1.001 (0.997-1.005)
conventional_dmards,exposure,,,,,,,1.009 (0.973-1.045),,,1.040 (0.996-1.085),,,,
conventional_dmards,exposure_lag-1,,,,,,,,,0.991 (0.960-1.023),0.972 (0.932-1.014),,,,
conventional_dmards,exposure_lag1,1.004 (0.987-1.021),1.018 (0.983-1.053),1.000 (0.984-1.016),,1.002 (0.988-1.018),1.005 (0.985-1.024),0.992 (0.935-1.051),1.006 (0.988-1.023),1.014 (0.987-1.042),0.993 (0.960-1.028),1.004 (0.983-1.026),1.004 (0.987-1.021),1.004 (0.987-1.021),
conventional_dmards,exposure_lag2,,,,,,,1.006 (0.964-1.049),,,,,,,
conventional_dmards,exposure_prior3,,,,,,,,,,,,,,1.006 (0.986-1.025)
fluoroquinolones,exposure,,,,,,,1.000 (0.984-1.016),,,1.015 (0.996-1.034),,,,
