drug,model,term,irr_10pct,ci_low,ci_high,upper90,se_log_irr_10pct,p,n_obs,n_areas,years,q_fdr,max_compatible_paf_pct
antituberculosis,primary (t-1),exposure_lag1,1.0002773080448237,0.9972067618562523,1.003357308896417,1.0028616699097956,0.0015685796505955302,0.8596931722716885,3233,294,2014-2024,,2.861669909795636
antituberculosis,FE only (t-1),exposure_lag1,1.0016242134394686,0.9982257511805113,1.0050342457723414,1.004485422918676,0.0017340410686252734,0.3493226593805143,3234,294,2014-2024,,4.485422918675925
antituberculosis,"distributed lag (t, t-1, t-2)",exposure,0.9991216988876652,0.9957823837661602,1.0024722122645948,1.0019329801097054,0.0017080859285036176,0.6069528622069653,3233,294,2014-2024,,1.9329801097054382
antituberculosis,"distributed lag (t, t-1, t-2)",exposure_lag1,1.000693356466913,0.9975213559513529,1.0038754435708057,1.003363355124056,0.0016198148870542773,0.6687250884876004,3233,294,2014-2024,,3.363355124055942
antituberculosis,"distributed lag (t, t-1, t-2)",exposure_lag2,1.0001754706788661,0.9970372993473497,1.0033235193934176,1.0028169155521318,0.0016033435835130973,0.912860748844336,3233,294,2014-2024,,2.8169155521318134
antituberculosis,"lag and lead (t-1, t+1)",exposure_lag1,0.9999737006699358,0.996629912736615,1.0033287073290846,1.0027887516553826,0.0017089179196323853,0.9877213078391585,2939,294,2014-2023,,2.788751655382613
antituberculosis,"lag and lead (t-1, t+1)",exposure_lag-1,1.0014579936395633,0.9982979857209155,1.004628004232952,1.0041178623303166,0.0016124470152037282,0.3662323211407038,2939,294,2014-2023,,4.1178623303166315
antituberculosis,prior 3 years (t-3..t-1),exposure_prior3,1.001071506578601,0.9966994690415292,1.0054627221255132,1.0047556941665599,0.0022331238012632615,0.6315351750478255,3233,294,2014-2024,,4.75569416655985
antituberculosis,+ area trends (t-1),exposure_lag1,0.9992143851572175,0.9958221222812079,1.0026182037590565,1.0020703805094757,0.0017350539970929057,0.6505719249197901,3233,294,2014-2024,,2.0703805094757204
antituberculosis,population covariate (t-1),exposure_lag1,1.0004358698209073,0.9972702626132954,1.0036115255272746,1.0031004732741748,0.0016169616179329358,0.7875431809961073,3233,294,2014-2024,,3.1004732741748398
antituberculosis,+ LTBI programme (t-1),exposure_lag1,1.0004682509048108,0.9974370543931739,1.0035086591779836,1.0030193997123995,0.0015481514714415603,0.762356851690848,3233,294,2014-2024,,3.019399712399504
antituberculosis,+ asylum support (t-1),exposure_lag1,1.0010007313805152,0.9976579935832032,1.0043546693045775,1.003814886650904,0.0017066245846970008,0.5578168551318564,2353,291,2015-2024,,3.8148866509040107
antituberculosis,exclude COVID years (t-1),exposure_lag1,1.000227142100121,0.9966927242679452,1.0037740934936523,1.003203200602096,0.0018060577367835587,0.8999278287937073,2351,294,2014-2024,,3.2032006020958868
antituberculosis,outcome years 2018-2024 (t-1),exposure_lag1,1.0010417409554335,0.997678956372662,1.004415860166522,1.0038728249926017,0.0017168061960445302,0.5441998880966383,2058,294,2018-2024,,3.872824992601661
antituberculosis,EPD exposure only (t-1),exposure_lag1,1.0008262226923912,0.9977812754676011,1.0038804622378832,1.0033889744411302,0.001554628115708365,0.5952520683121041,2939,294,2015-2024,,3.3889744411301743
oral_glucocorticoids,primary (t-1),exposure_lag1,0.9818620640266077,0.9407451522043276,1.0247760623752864,1.0177547622930112,0.0218257948034236,0.4016595197716202,3233,294,2014-2024,0.8019461635761193,17.75476229301119
oral_glucocorticoids,FE only (t-1),exposure_lag1,0.9719513956331011,0.9253074635660147,1.020946607122807,1.0129089695724276,0.025091695607674776,0.2568698265865834,3234,294,2014-2024,,12.908969572427587
oral_glucocorticoids,"distributed lag (t, t-1, t-2)",exposure,0.9655700547773178,0.9243194973728651,1.0086615432570258,1.001608614353974,0.022275953578226145,0.11575471805463877,3233,294,2014-2024,,1.6086143539739681
oral_glucocorticoids,"distributed lag (t, t-1, t-2)",exposure_lag1,1.0027218221491423,0.9516278678933893,1.0565590674008476,1.0477156407783215,0.026683336928087976,0.9188630405994038,3233,294,2014-2024,,47.71564077832142
oral_glucocorticoids,"distributed lag (t, t-1, t-2)",exposure_lag2,1.0070183862644067,0.9629496815913254,1.0531038637436787,1.0455574861143504,0.02283060831456411,0.7593476715168839,3233,294,2014-2024,,45.55748611435036
oral_glucocorticoids,"lag and lead (t-1, t+1)",exposure_lag1,1.006463002986995,0.9572458268073458,1.058210699920313,1.0497181396035982,0.025580232415773764,0.8011622720648452,2939,294,2014-2023,,49.71813960359812
