drug,term,+ LTBI programme (t-1),+ area trends (t-1),+ asylum support (t-1),ADQ measure (t-1),EPD exposure only (t-1),FE only (t-1),"distributed lag (t, t-1, t-2)",exclude COVID years (t-1),"lag and lead (t-1, t+1)",outcome years 2018-2024 (t-1),population covariate (t-1),primary (t-1),prior 3 years (t-3..t-1)
all_antibacterials,exposure,,,,,,,1.020 (0.985-1.056),,,,,,
all_antibacterials,exposure_lag-1,,,,,,,,,0.993 (0.962-1.025),,,,
all_antibacterials,exposure_lag1,1.007 (0.965-1.051),0.995 (0.955-1.037),1.005 (0.964-1.046),1.007 (0.970-1.045),1.007 (0.968-1.048),1.009 (0.961-1.058),0.972 (0.928-1.017),1.030 (0.984-1.078),1.016 (0.974-1.060),0.957 (0.914-1.002),1.015 (0.976-1.056),1.012 (0.971-1.054),
all_antibacterials,exposure_lag2,,,,,,,1.030 (0.987-1.075),,,,,,
all_antibacterials,exposure_prior3,,,,,,,,,,,,,1.023 (0.980-1.069)
antituberculosis,exposure,,,,,,,0.999 (0.996-1.002),,,,,,
antituberculosis,exposure_lag-1,,,,,,,,,1.001 (0.998-1.005),,,,
antituberculosis,exposure_lag1,1.000 (0.997-1.004),0.999 (0.996-1.003),1.001 (0.998-1.004),,1.001 (0.998-1.004),1.002 (0.998-1.005),1.001 (0.998-1.004),1.000 (0.997-1.004),1.000 (0.997-1.003),1.001 (0.998-1.004),1.000 (0.997-1.004),1.000 (0.997-1.003),
antituberculosis,exposure_lag2,,,,,,,1.000 (0.997-1.003),,,,,,
antituberculosis,exposure_prior3,,,,,,,,,,,,,1.001 (0.997-1.005)
conventional_dmards,exposure,,,,,,,1.005 (0.968-1.043),,,,,,
conventional_dmards,exposure_lag-1,,,,,,,,,0.984 (0.950-1.019),,,,
conventional_dmards,exposure_lag1,1.003 (0.984-1.022),1.022 (0.985-1.060),0.998 (0.980-1.016),,1.001 (0.985-1.018),1.005 (0.985-1.026),0.994 (0.936-1.056),1.006 (0.987-1.026),1.016 (0.987-1.046),1.003 (0.979-1.026),1.003 (0.984-1.022),1.003 (0.984-1.023),
conventional_dmards,exposure_lag2,,,,,,,1.006 (0.964-1.049),,,,,,
conventional_dmards,exposure_prior3,,,,,,,,,,,,,1.004 (0.984-1.026)
fluoroquinolones,exposure,,,,,,,1.002 (0.986-1.019),,,,,,
fluoroquinolones,exposure_lag-1,,,,,,,,,0.994 (0.980-1.009),,,,
fluoroquinolones,exposure_lag1,1.009 (0.997-1.022),1.008 (0.994-1.023),1.008 (0.995-1.021),1.004 (0.992-1.016),1.006 (0.994-1.019),1.010 (0.995-1.024),1.002 (0.985-1.020),1.006 (0.992-1.020),1.014 (1.000-1.029),0.995 (0.976-1.015),1.011 (0.998-1.024),1.010 (0.997-1.023),
fluoroquinolones,exposure_lag2,,,,,,,1.007 (0.992-1.022),,,,,,
fluoroquinolones,exposure_prior3,,,,,,,,,,,,,1.011 (0.998-1.025)
inhaled_corticosteroids,exposure,,,,,,,0.896 (0.849-0.946),,,,,,
inhaled_corticosteroids,exposure_lag-1,,,,,,,,,0.875 (0.837-0.914),,,,
inhaled_corticosteroids,exposure_lag1,0.982 (0.936-1.030),1.053 (1.003-1.105),0.964 (0.921-1.008),0.975 (0.952-0.999),0.970 (0.929-1.013),0.952 (0.905-1.001),1.042 (0.966-1.123),0.977 (0.930-1.026),1.076 (1.017-1.138),0.948 (0.902-0.996),0.984 (0.935-1.034),0.981 (0.935-1.029),
inhaled_corticosteroids,exposure_lag2,,,,,,,1.034 (0.969-1.104),,,,,,
inhaled_corticosteroids,exposure_prior3,,,,,,,,,,,,,0.999 (0.947-1.053)
insulins,exposure,,,,,,,0.931 (0.872-0.995),,,,,,
insulins,exposure_lag-1,,,,,,,,,0.903 (0.852-0.957),,,,
insulins,exposure_lag1,0.983 (0.947-1.022),1.042 (0.980-1.109),0.980 (0.936-1.027),,0.985 (0.944-1.028),0.980 (0.941-1.020),1.033 (0.954-1.118),0.979 (0.940-1.020),1.055 (1.006-1.106),0.982 (0.915-1.054),0.986 (0.944-1.029),0.981 (0.945-1.019),
insulins,exposure_lag2,,,,,,,1.006 (0.951-1.064),,,,,,
insulins,exposure_prior3,,,,,,,,,,,,,0.989 (0.948-1.030)
levothyroxine,exposure,,,,,,,0.987 (0.923-1.056),,,,,,
levothyroxine,exposure_lag-1,,,,,,,,,0.967 (0.909-1.030),,,,
levothyroxine,exposure_lag1,0.975 (0.940-1.011),0.980 (0.930-1.033),0.977 (0.941-1.014),0.964 (0.916-1.014),0.978 (0.943-1.014),0.948 (0.919-0.978),1.025 (0.946-1.110),0.967 (0.930-1.006),0.997 (0.943-1.053),0.980 (0.929-1.032),0.968 (0.936-1.002),0.970 (0.938-1.003),
levothyroxine,exposure_lag2,,,,,,,0.955 (0.889-1.026),,,,,,
levothyroxine,exposure_prior3,,,,,,,,,,,,,0.968 (0.936-1.001)
metformin,exposure,,,,,,,1.005 (0.943-1.071),,,,,,
metformin,exposure_lag-1,,,,,,,,,0.998 (0.945-1.054),,,,
