drug,term,+ LTBI programme (t-1),+ area trends (t-1),+ asylum support (t-1),ADQ measure (t-1),EPD exposure only (t-1),FE only (t-1),"distributed lag (t, t-1, t-2)",exclude COVID years (t-1),"lag and lead (t-1, t+1)","lag, same year and lead (t-1, t, t+1)",outcome years 2018-2024 (t-1),population covariate (t-1),primary (t-1),prior 3 years (t-3..t-1)
all_antibacterials,exposure,,,,,,,1.004 (0.972-1.038),,,1.048 (0.994-1.106),,,,
all_antibacterials,exposure_lag-1,,,,,,,,,0.982 (0.951-1.014),0.959 (0.917-1.003),,,,
all_antibacterials,exposure_lag1,1.003 (0.960-1.047),0.994 (0.953-1.036),0.999 (0.959-1.042),0.999 (0.959-1.040),1.001 (0.960-1.044),1.013 (0.965-1.062),0.971 (0.926-1.018),1.020 (0.973-1.070),1.017 (0.972-1.065),0.993 (0.944-1.044),0.975 (0.928-1.025),1.008 (0.967-1.052),1.005 (0.963-1.049),
all_antibacterials,exposure_lag2,,,,,,,1.037 (0.991-1.086),,,,,,,
all_antibacterials,exposure_prior3,,,,,,,,,,,,,,1.020 (0.973-1.069)
antituberculosis,exposure,,,,,,,1.000 (0.996-1.004),,,0.999 (0.994-1.003),,,,
antituberculosis,exposure_lag-1,,,,,,,,,1.003 (0.999-1.007),1.004 (1.000-1.008),,,,
antituberculosis,exposure_lag1,1.001 (0.997-1.004),0.999 (0.995-1.002),1.000 (0.997-1.004),,1.001 (0.998-1.005),1.002 (0.998-1.006),1.000 (0.996-1.004),1.001 (0.996-1.005),1.000 (0.996-1.003),1.000 (0.996-1.004),1.002 (0.998-1.006),1.001 (0.997-1.005),1.001 (0.997-1.004),
antituberculosis,exposure_lag2,,,,,,,1.001 (0.998-1.004),,,,,,,
antituberculosis,exposure_prior3,,,,,,,,,,,,,,1.002 (0.997-1.007)
conventional_dmards,exposure,,,,,,,0.998 (0.961-1.036),,,1.059 (1.002-1.119),,,,
conventional_dmards,exposure_lag-1,,,,,,,,,0.978 (0.945-1.011),0.950 (0.907-0.994),,,,
conventional_dmards,exposure_lag1,1.005 (0.985-1.026),1.034 (0.998-1.071),1.004 (0.986-1.022),,1.004 (0.987-1.023),1.008 (0.985-1.033),1.012 (0.955-1.073),1.004 (0.983-1.026),1.027 (0.996-1.058),0.997 (0.956-1.039),1.011 (0.989-1.034),1.005 (0.985-1.026),1.006 (0.985-1.026),
conventional_dmards,exposure_lag2,,,,,,,0.995 (0.953-1.040),,,,,,,
conventional_dmards,exposure_prior3,,,,,,,,,,,,,,1.006 (0.984-1.028)
fluoroquinolones,exposure,,,,,,,1.000 (0.982-1.018),,,1.018 (0.996-1.040),,,,
fluoroquinolones,exposure_lag-1,,,,,,,,,0.992 (0.975-1.009),0.983 (0.965-1.002),,,,
fluoroquinolones,exposure_lag1,1.003 (0.990-1.017),1.005 (0.991-1.020),1.002 (0.988-1.015),1.000 (0.987-1.013),1.001 (0.987-1.015),1.009 (0.994-1.024),0.999 (0.980-1.018),0.999 (0.985-1.013),1.008 (0.993-1.023),0.999 (0.981-1.017),0.992 (0.970-1.013),1.005 (0.992-1.018),1.003 (0.990-1.017),
fluoroquinolones,exposure_lag2,,,,,,,1.005 (0.989-1.021),,,,,,,
fluoroquinolones,exposure_prior3,,,,,,,,,,,,,,1.006 (0.992-1.020)
inhaled_corticosteroids,exposure,,,,,,,0.908 (0.857-0.962),,,1.021 (0.940-1.108),,,,
inhaled_corticosteroids,exposure_lag-1,,,,,,,,,0.893 (0.854-0.933),0.884 (0.832-0.939),,,,
inhaled_corticosteroids,exposure_lag1,0.980 (0.933-1.029),1.052 (0.999-1.108),0.969 (0.924-1.016),0.978 (0.954-1.002),0.968 (0.924-1.014),0.957 (0.908-1.007),1.041 (0.954-1.137),0.971 (0.925-1.020),1.072 (1.009-1.140),1.061 (0.985-1.143),0.954 (0.901-1.010),0.983 (0.935-1.034),0.980 (0.933-1.029),
inhaled_corticosteroids,exposure_lag2,,,,,,,1.025 (0.946-1.109),,,,,,,
inhaled_corticosteroids,exposure_prior3,,,,,,,,,,,,,,0.995 (0.940-1.052)
insulins,exposure,,,,,,,0.941 (0.875-1.012),,,1.052 (0.973-1.138),,,,
insulins,exposure_lag-1,,,,,,,,,0.923 (0.869-0.981),0.900 (0.846-0.959),,,,
insulins,exposure_lag1,0.984 (0.946-1.023),1.049 (0.977-1.127),0.987 (0.941-1.036),,0.985 (0.942-1.030),0.979 (0.938-1.022),1.057 (0.963-1.160),0.976 (0.934-1.020),1.054 (0.999-1.111),1.027 (0.956-1.104),0.993 (0.920-1.071),0.988 (0.947-1.031),0.983 (0.946-1.022),
insulins,exposure_lag2,,,,,,,0.977 (0.914-1.045),,,,,,,
insulins,exposure_prior3,,,,,,,,,,,,,,0.985 (0.944-1.029)
levothyroxine,exposure,,,,,,,0.974 (0.903-1.051),,,1.049 (0.956-1.152),,,,
