drug,model,term,irr_10pct,ci_low,ci_high,upper90,se_log_irr_10pct,p,n_obs,n_areas,years,q_fdr,max_compatible_paf_pct
antituberculosis,primary (t-1),exposure_lag1,1.0004525375140316,0.9966751913691955,1.004244199600532,1.0036338575912924,0.0019299914482987922,0.8146562971295859,1660,151,2014-2024,,3.6338575912924194
antituberculosis,FE only (t-1),exposure_lag1,1.0019803373918645,0.99781497370791,1.0061630893242188,1.0054896856286224,0.0021254061499080177,0.3519445995256425,1661,151,2014-2024,,5.489685628622394
antituberculosis,"distributed lag (t, t-1, t-2)",exposure,0.9995023237920301,0.9954682147784276,1.0035527809273426,1.0029007093060056,0.002063410611926696,0.8093605044051723,1660,151,2014-2024,,2.9007093060056084
antituberculosis,"distributed lag (t, t-1, t-2)",exposure_lag1,0.9999452057295485,0.9962707945883955,1.0036331687055113,1.0030395443346272,0.0018782553378614265,0.9767260082720431,1660,151,2014-2024,,3.039544334627162
antituberculosis,"distributed lag (t, t-1, t-2)",exposure_lag2,1.0014643549515347,0.9977974321796971,1.0051447537278007,1.0045523501649283,0.0018715718723666204,0.4343041893427694,1660,151,2014-2024,,4.552350164928272
antituberculosis,"lag and lead (t-1, t+1)",exposure_lag1,0.9996322433312639,0.9955872975319727,1.0036936232358915,1.0030397903490853,0.002068695340908985,0.8588761460357305,1509,151,2014-2023,,3.0397903490853
antituberculosis,"lag and lead (t-1, t+1)",exposure_lag-1,1.002541414364008,0.9989568948784702,1.0061387960461108,1.005559776052244,0.0018274693703552866,0.1648601278875218,1509,151,2014-2023,,5.559776052243888
antituberculosis,prior 3 years (t-3..t-1),exposure_prior3,1.0025798597251183,0.9974050009152503,1.0077815673713941,1.006943762135895,0.0026402599646411346,0.3291313104732808,1660,151,2014-2024,,6.943762135894975
antituberculosis,+ area trends (t-1),exposure_lag1,0.9988765777877333,0.995334385275092,1.002431376242641,1.001859217317481,0.0018124892621524651,0.5351450500708742,1660,151,2014-2024,,1.8592173174809532
antituberculosis,population covariate (t-1),exposure_lag1,1.000647152656651,0.9967399582600384,1.0045696631524388,1.0039382242426143,0.0019960768352649144,0.7458566979867105,1660,151,2014-2024,,3.9382242426142486
antituberculosis,+ LTBI programme (t-1),exposure_lag1,1.0005190545474456,0.9967864334694246,1.0042656530028107,1.0036625762756368,0.0019069699028759466,0.7855316729624549,1660,151,2014-2024,,3.662576275636817
