drug,term,+ LTBI programme (t-1),+ area trends (t-1),+ asylum support (t-1),ADQ measure (t-1),EPD exposure only (t-1),FE only (t-1),"distributed lag (t, t-1, t-2)",exclude COVID years (t-1),"lag and lead (t-1, t+1)","lag, same year and lead (t-1, t, t+1)",outcome years 2018-2024 (t-1),population covariate (t-1),primary (t-1),prior 3 years (t-3..t-1)
all_antibacterials,exposure,,,,,,,1.019 (0.984-1.054),,,1.058 (1.000-1.119),,,,
all_antibacterials,exposure_lag-1,,,,,,,,,0.989 (0.956-1.024),0.962 (0.918-1.008),,,,
all_antibacterials,exposure_lag1,1.001 (0.954-1.050),0.993 (0.949-1.038),0.996 (0.952-1.042),0.994 (0.951-1.038),0.997 (0.953-1.044),1.012 (0.958-1.069),0.963 (0.916-1.012),1.021 (0.969-1.075),1.012 (0.964-1.063),0.984 (0.934-1.036),0.961 (0.914-1.010),1.007 (0.962-1.054),1.003 (0.957-1.052),
all_antibacterials,exposure_lag2,,,,,,,1.033 (0.982-1.086),,,,,,,
all_antibacterials,exposure_prior3,,,,,,,,,,,,,,1.018 (0.967-1.071)
antituberculosis,exposure,,,,,,,1.000 (0.996-1.004),,,0.998 (0.994-1.002),,,,
antituberculosis,exposure_lag-1,,,,,,,,,1.003 (0.999-1.006),1.004 (1.000-1.008),,,,
antituberculosis,exposure_lag1,1.000 (0.996-1.004),0.999 (0.995-1.002),1.000 (0.996-1.004),,1.001 (0.997-1.005),1.002 (0.998-1.006),1.000 (0.996-1.004),1.000 (0.996-1.005),0.999 (0.995-1.003),1.000 (0.996-1.005),1.002 (0.998-1.005),1.000 (0.996-1.004),1.000 (0.996-1.004),
antituberculosis,exposure_lag2,,,,,,,1.001 (0.997-1.005),,,,,,,
antituberculosis,exposure_prior3,,,,,,,,,,,,,,1.002 (0.997-1.007)
conventional_dmards,exposure,,,,,,,0.999 (0.960-1.040),,,1.066 (1.007-1.130),,,,
conventional_dmards,exposure_lag-1,,,,,,,,,0.973 (0.938-1.009),0.942 (0.897-0.989),,,,
conventional_dmards,exposure_lag1,1.001 (0.978-1.023),1.030 (0.992-1.070),0.999 (0.980-1.020),,1.000 (0.980-1.020),1.006 (0.981-1.031),1.003 (0.943-1.067),1.001 (0.978-1.023),1.022 (0.989-1.057),0.989 (0.946-1.033),1.010 (0.986-1.034),1.000 (0.978-1.023),1.001 (0.978-1.023),
conventional_dmards,exposure_lag2,,,,,,,0.998 (0.953-1.044),,,,,,,
conventional_dmards,exposure_prior3,,,,,,,,,,,,,,1.001 (0.978-1.025)
fluoroquinolones,exposure,,,,,,,1.002 (0.983-1.021),,,1.020 (0.997-1.043),,,,
fluoroquinolones,exposure_lag-1,,,,,,,,,0.992 (0.975-1.010),0.982 (0.963-1.002),,,,
fluoroquinolones,exposure_lag1,1.004 (0.991-1.018),1.006 (0.992-1.021),1.002 (0.989-1.016),1.000 (0.987-1.013),1.002 (0.988-1.016),1.010 (0.994-1.025),0.998 (0.978-1.018),0.999 (0.985-1.013),1.010 (0.994-1.026),1.000 (0.981-1.019),0.991 (0.969-1.014),1.006 (0.992-1.019),1.004 (0.991-1.018),
fluoroquinolones,exposure_lag2,,,,,,,1.006 (0.990-1.023),,,,,,,
fluoroquinolones,exposure_prior3,,,,,,,,,,,,,,1.007 (0.993-1.021)
inhaled_corticosteroids,exposure,,,,,,,0.906 (0.854-0.961),,,1.035 (0.948-1.129),,,,
inhaled_corticosteroids,exposure_lag-1,,,,,,,,,0.872 (0.832-0.915),0.858 (0.802-0.917),,,,
inhaled_corticosteroids,exposure_lag1,0.966 (0.917-1.019),1.054 (0.998-1.114),0.953 (0.908-1.000),0.975 (0.952-0.999),0.952 (0.908-0.998),0.942 (0.889-0.998),1.023 (0.935-1.119),0.956 (0.908-1.005),1.069 (0.997-1.145),1.050 (0.969-1.137),0.930 (0.882-0.981),0.968 (0.918-1.021),0.965 (0.916-1.017),
inhaled_corticosteroids,exposure_lag2,,,,,,,1.030 (0.946-1.121),,,,,,,
inhaled_corticosteroids,exposure_prior3,,,,,,,,,,,,,,0.980 (0.923-1.041)
insulins,exposure,,,,,,,0.941 (0.867-1.022),,,1.067 (0.977-1.165),,,,
insulins,exposure_lag-1,,,,,,,,,0.903 (0.841-0.970),0.875 (0.811-0.944),,,,
insulins,exposure_lag1,0.973 (0.930-1.017),1.061 (0.979-1.151),0.978 (0.927-1.032),,0.976 (0.928-1.026),0.969 (0.922-1.019),1.039 (0.938-1.150),0.964 (0.920-1.009),1.053 (0.992-1.117),1.019 (0.941-1.105),0.983 (0.908-1.064),0.977 (0.931-1.025),0.971 (0.929-1.014),
insulins,exposure_lag2,,,,,,,0.982 (0.912-1.057),,,,,,,
insulins,exposure_prior3,,,,,,,,,,,,,,0.974 (0.928-1.023)
levothyroxine,exposure,,,,,,,0.992 (0.908-1.083),,,1.063 (0.957-1.181),,,,
levothyroxine,exposure_lag-1,,,,,,,,,0.965 (0.896-1.040),0.935 (0.841-1.040),,,,
levothyroxine,exposure_lag1,0.960 (0.927-0.993),0.969 (0.913-1.028),0.964 (0.931-0.998),0.942 (0.899-0.987),0.962 (0.928-0.996),0.940 (0.909-0.971),1.003 (0.900-1.118),0.954 (0.921-0.989),0.982 (0.922-1.047),0.954 (0.890-1.023),0.964 (0.918-1.013),0.953 (0.922-0.985),0.956 (0.926-0.988),
levothyroxine,exposure_lag2,,,,,,,0.959 (0.880-1.045),,,,,,,
levothyroxine,exposure_prior3,,,,,,,,,,,,,,0.957 (0.926-0.989)
metformin,exposure,,,,,,,1.011 (0.932-1.096),,,1.049 (0.964-1.141),,,,
metformin,exposure_lag-1,,,,,,,,,0.994 (0.929-1.063),0.970 (0.893-1.053),,,,
metformin,exposure_lag1,0.961 (0.926-0.997),0.946 (0.904-0.990),0.965 (0.928-1.004),0.972 (0.914-1.033),0.961 (0.925-0.999),0.939 (0.903-0.975),0.968 (0.885-1.059),0.956 (0.924-0.989),0.960 (0.902-1.022),0.938 (0.870-1.010),0.970 (0.917-1.027),0.959 (0.925-0.994),0.958 (0.924-0.992),
metformin,exposure_lag2,,,,,,,0.979 (0.922-1.039),,,,,,,
metformin,exposure_prior3,,,,,,,,,,,,,,0.961 (0.923-1.000)
oral_dexamethasone,exposure,,,,,,,1.002 (0.991-1.013),,,1.003 (0.991-1.015),,,,
oral_dexamethasone,exposure_lag-1,,,,,,,,,1.002 (0.991-1.014),1.002 (0.991-1.012),,,,
oral_dexamethasone,exposure_lag1,1.005 (0.992-1.017),0.996 (0.984-1.007),1.004 (0.992-1.017),,1.004 (0.992-1.017),1.007 (0.993-1.022),1.003 (0.992-1.014),1.008 (0.995-1.022),1.003 (0.991-1.016),1.002 (0.991-1.014),1.001 (0.987-1.015),1.004 (0.992-1.016),1.004 (0.992-1.016),
oral_dexamethasone,exposure_lag2,,,,,,,1.001 (0.990-1.013),,,,,,,
oral_dexamethasone,exposure_prior3,,,,,,,,,,,,,,1.009 (0.992-1.027)
oral_glucocorticoids,exposure,,,,,,,0.965 (0.922-1.011),,,1.012 (0.957-1.070),,,,
oral_glucocorticoids,exposure_lag-1,,,,,,,,,0.957 (0.913-1.003),0.951 (0.901-1.005),,,,
oral_glucocorticoids,exposure_lag1,0.977 (0.928-1.027),0.986 (0.925-1.050),0.984 (0.937-1.033),,0.982 (0.936-1.030),0.971 (0.916-1.028),0.990 (0.933-1.051),0.982 (0.934-1.033),0.994 (0.937-1.053),0.988 (0.926-1.053),0.974 (0.927-1.024),0.977 (0.931-1.026),0.974 (0.928-1.023),
oral_glucocorticoids,exposure_lag2,,,,,,,1.014 (0.965-1.065),,,,,,,
oral_glucocorticoids,exposure_prior3,,,,,,,,,,,,,,0.982 (0.929-1.038)
oral_hydrocortisone,exposure,,,,,,,1.008 (0.989-1.028),,,1.014 (0.988-1.041),,,,
oral_hydrocortisone,exposure_lag-1,,,,,,,,,1.003 (0.985-1.022),0.996 (0.974-1.019),,,,
oral_hydrocortisone,exposure_lag1,1.000 (0.985-1.014),1.006 (0.986-1.027),0.992 (0.977-1.007),,0.995 (0.981-1.009),0.996 (0.979-1.014),0.995 (0.972-1.019),1.000 (0.983-1.017),0.997 (0.977-1.018),0.991 (0.966-1.016),0.995 (0.976-1.014),1.001 (0.987-1.016),0.999 (0.985-1.014),
oral_hydrocortisone,exposure_lag2,,,,,,,0.996 (0.975-1.018),,,,,,,
oral_hydrocortisone,exposure_prior3,,,,,,,,,,,,,,0.995 (0.976-1.013)
proton_pump_inhibitors,exposure,,,,,,,0.976 (0.893-1.066),,,1.126 (1.021-1.242),,,,
proton_pump_inhibitors,exposure_lag-1,,,,,,,,,0.955 (0.886-1.030),0.899 (0.821-0.986),,,,
proton_pump_inhibitors,exposure_lag1,1.002 (0.957-1.049),0.980 (0.916-1.048),0.987 (0.942-1.034),0.984 (0.915-1.058),0.983 (0.939-1.030),0.968 (0.918-1.022),1.060 (0.963-1.167),0.992 (0.948-1.038),1.044 (0.987-1.105),0.986 (0.914-1.063),0.939 (0.885-0.997),0.999 (0.953-1.046),0.997 (0.953-1.043),
proton_pump_inhibitors,exposure_lag2,,,,,,,0.959 (0.878-1.048),,,,,,,
proton_pump_inhibitors,exposure_prior3,,,,,,,,,,,,,,0.995 (0.950-1.043)
statins,exposure,,,,,,,1.009 (0.918-1.110),,,1.083 (0.990-1.185),,,,
statins,exposure_lag-1,,,,,,,,,0.982 (0.909-1.062),0.944 (0.863-1.033),,,,
statins,exposure_lag1,0.990 (0.946-1.035),0.982 (0.925-1.042),1.001 (0.956-1.048),0.983 (0.943-1.025),0.995 (0.951-1.041),0.965 (0.919-1.014),1.008 (0.905-1.123),0.976 (0.934-1.019),0.993 (0.933-1.058),0.954 (0.883-1.032),0.993 (0.931-1.059),0.984 (0.942-1.029),0.985 (0.943-1.030),
statins,exposure_lag2,,,,,,,0.968 (0.892-1.051),,,,,,,
statins,exposure_prior3,,,,,,,,,,,,,,0.985 (0.940-1.032)
transplant_immunosuppressants,exposure,,,,,,,1.000 (0.989-1.011),,,1.001 (0.990-1.012),,,,
transplant_immunosuppressants,exposure_lag-1,,,,,,,,,0.999 (0.992-1.007),0.999 (0.990-1.008),,,,
transplant_immunosuppressants,exposure_lag1,0.998 (0.991-1.004),1.000 (0.992-1.008),0.999 (0.993-1.005),,1.000 (0.994-1.006),0.996 (0.990-1.003),0.998 (0.984-1.011),1.000 (0.994-1.007),0.998 (0.988-1.008),0.997 (0.985-1.010),1.001 (0.994-1.009),0.998 (0.992-1.004),0.998 (0.992-1.005),
transplant_immunosuppressants,exposure_lag2,,,,,,,1.001 (0.991-1.010),,,,,,,
transplant_immunosuppressants,exposure_prior3,,,,,,,,,,,,,,0.998 (0.991-1.006)
vitamin_d,exposure,,,,,,,1.002 (0.963-1.042),,,1.012 (0.962-1.064),,,,
vitamin_d,exposure_lag-1,,,,,,,,,0.999 (0.971-1.028),0.993 (0.953-1.034),,,,
vitamin_d,exposure_lag1,1.007 (0.985-1.030),0.990 (0.964-1.016),1.009 (0.985-1.034),,1.007 (0.984-1.031),1.015 (0.990-1.040),1.008 (0.957-1.062),1.017 (0.994-1.041),1.007 (0.978-1.037),1.001 (0.964-1.039),0.995 (0.961-1.031),1.011 (0.990-1.033),1.009 (0.987-1.031),
vitamin_d,exposure_lag2,,,,,,,0.999 (0.964-1.034),,,,,,,
vitamin_d,exposure_prior3,,,,,,,,,,,,,,1.009 (0.986-1.032)
