level,year,quantity,n_areas,morans_i,permutation_p
utla,2014,Pearson residual (primary model),151,0.21936685919753995,0.001
utla,2014,log TB rate (raw),151,0.48209149099802734,0.001
utla,2015,Pearson residual (primary model),151,-0.025336251789228256,0.583
utla,2015,log TB rate (raw),151,0.4683940837851169,0.001
utla,2016,Pearson residual (primary model),151,0.017098344327214916,0.711
utla,2016,log TB rate (raw),151,0.48958708716172106,0.001
utla,2017,Pearson residual (primary model),150,0.034543417676589305,0.478
utla,2017,log TB rate (raw),150,0.4322213314334281,0.001
utla,2018,Pearson residual (primary model),151,-0.020355478754898883,0.659
utla,2018,log TB rate (raw),151,0.45290766022811335,0.001
utla,2019,Pearson residual (primary model),151,-0.012016661186188658,0.79
utla,2019,log TB rate (raw),151,0.4278383598990473,0.001
utla,2020,Pearson residual (primary model),151,0.007444463430653788,0.871
utla,2020,log TB rate (raw),151,0.40290021339437515,0.001
utla,2021,Pearson residual (primary model),151,0.02627739911471117,0.584
utla,2021,log TB rate (raw),151,0.4814943542573811,0.001
utla,2022,Pearson residual (primary model),151,0.07172929419255429,0.122
utla,2022,log TB rate (raw),151,0.4159400471179502,0.001
utla,2023,Pearson residual (primary model),151,0.07780212762877689,0.108
utla,2023,log TB rate (raw),151,0.39579982331996966,0.001
utla,2024,Pearson residual (primary model),151,-0.02478434213540697,0.611
utla,2024,log TB rate (raw),151,0.3984493234303237,0.001
ltla,2014,Pearson residual (primary model),294,0.1670931857508453,0.001
ltla,2014,log TB rate (raw),294,0.3938598513335379,0.001
ltla,2015,Pearson residual (primary model),294,0.0016141797185177684,0.96
ltla,2015,log TB rate (raw),294,0.327266268768798,0.001
ltla,2016,Pearson residual (primary model),294,0.0404965716668916,0.242
ltla,2016,log TB rate (raw),294,0.3931990721253609,0.001
ltla,2017,Pearson residual (primary model),293,0.016435210004001194,0.626
ltla,2017,log TB rate (raw),293,0.35183091247759585,0.001
ltla,2018,Pearson residual (primary model),294,-0.0009034601388978374,0.975
ltla,2018,log TB rate (raw),294,0.3477514471006711,0.001
ltla,2019,Pearson residual (primary model),294,0.06617806033222817,0.047
ltla,2019,log TB rate (raw),294,0.31905130569091905,0.001
ltla,2020,Pearson residual (primary model),294,0.027480322473375566,0.43
ltla,2020,log TB rate (raw),294,0.31852902714698833,0.001
ltla,2021,Pearson residual (primary model),294,0.027992198789922648,0.412
ltla,2021,log TB rate (raw),294,0.3488345067997652,0.001
ltla,2022,Pearson residual (primary model),294,0.030897371383872836,0.384
ltla,2022,log TB rate (raw),294,0.28734141280221953,0.001
ltla,2023,Pearson residual (primary model),294,0.07968329058925706,0.016
ltla,2023,log TB rate (raw),294,0.34516414668425294,0.001
ltla,2024,Pearson residual (primary model),294,-0.015799376061064203,0.642
ltla,2024,log TB rate (raw),294,0.2511631784821515,0.001
