YEAR_MONTH,items_oral_glucocorticoids,items_oral_hydrocortisone,items_oral_dexamethasone,mg_pred_equivalent,items_total,mg_per_item
2011,118.76340085083429,5.50275990045713,3.682440688939755,26720.683527434874,17663.3472968593,224.99089227830217
2012,126.89860872294167,5.8969314037995755,3.8469120529924306,28003.635832966465,18233.800025312663,220.67724866950223
2013,127.00506091710024,6.134645046802513,3.956513331945812,27751.105986522,18599.056957730758,218.50393823783077
2014,130.3863970340141,6.480723425588141,3.957508507536989,28131.04398526704,19063.494072933434,215.75137150180205
2015,130.59879424929002,6.758528522017208,4.024600046897684,27942.453733711794,19253.954994278643,213.95644496054524
2016,132.19257909262802,6.993321677495758,3.9627930558526305,27897.67611978896,19478.460159025384,211.03814080396234
2017,130.0670943963802,7.2675347883086,4.033258235036358,27100.59066301294,19424.135377727267,208.35854593955744
2018,127.08843961991059,7.500912658574427,3.7968849732625367,26390.20785782939,19393.58222209761,207.65230839843366
2019,128.27961615403692,7.76943917679897,3.823275580589854,26360.4229949193,19486.813102231306,205.49190732895522
2020,115.44577108946264,8.046680286555608,3.552287372424946,24002.749180833325,19573.151552620646,207.91362866148492
2021,110.1972064626559,7.9431679923138745,3.6490212667901702,22417.66260790778,19572.041505658635,203.43222235406458
2022,115.91657036290502,8.324715668648102,3.7372987839191536,23063.067647617187,19924.29946433887,198.96264680202873
2023,113.8011378392821,8.668152155399985,3.346755521924162,22393.944237197935,20316.671607393662,196.7813737400783
2024,111.3785736455113,9.096617359275324,3.477492600308119,21392.847838122878,20904.22804923015,192.073278889445
