outcome,exposure,model,lag_years,n_obs,years,irr_per_10pct,ci_low,ci_high,p,leave_one_region_out_range,analysis
"TB, UK born",ocs_per_1000,FE only,1,90,2015-2024,1.1665127575691403,0.7232456868330077,1.8814519579509748,0.4787353800129669,0.975-1.430,lagged exposure
"TB, UK born",ocs_per_1000,FE + migration + age,1,90,2015-2024,1.2597210109541215,0.9470670091053286,1.6755910724188114,0.09895540797622253,1.114-1.353,lagged exposure
"TB, UK born",ocs_per_1000,FE only,2,81,2016-2024,1.217596942208091,0.8118538985958016,1.8261195964430639,0.2951570235282672,1.059-1.429,lagged exposure
"TB, UK born",ocs_per_1000,FE + migration + age,2,81,2016-2024,1.3219042333955882,0.9306773786754624,1.877590282420012,0.10401379173367502,1.194-1.437,lagged exposure
"TB, UK born",ocs_per_1000,FE only,3,72,2017-2024,1.2051014819662371,0.7819112577979966,1.8573329995619638,0.34908479852931,1.049-1.365,lagged exposure
"TB, UK born",ocs_per_1000,FE + migration + age,3,72,2017-2024,1.3171762967319707,0.8478874414971702,2.0462072107224847,0.1872284481829797,1.099-1.486,lagged exposure
"TB, UK born",ocs_per_1000,FE only,1,72,2015-2024,1.1885902583158832,0.7458422845992752,1.8941629233618151,0.41745790149846435,0.986-1.427,"lagged, excluding 2020-21"
"TB, UK born",ocs_per_1000,FE + migration + age,1,72,2015-2024,1.2608089017144923,0.9090261677662246,1.7487275317373632,0.1409737540567062,1.108-1.390,"lagged, excluding 2020-21"
"TB, UK born",ocs_per_1000,FE only,2,63,2016-2024,1.2036648316776553,0.7930141780312793,1.8269648477337213,0.33562229053617015,1.027-1.425,"lagged, excluding 2020-21"
"TB, UK born",ocs_per_1000,FE + migration + age,2,63,2016-2024,1.3072717710217678,0.9010842634061073,1.89655901530286,0.13539002294509433,1.164-1.447,"lagged, excluding 2020-21"
"TB, UK born",ocs_per_1000,FE only,3,54,2017-2024,1.2143966626680935,0.7585745895373293,1.944118976090262,0.3690097779278949,1.024-1.343,"lagged, excluding 2020-21"
"TB, UK born",ocs_per_1000,FE + migration + age,3,54,2017-2024,1.312762142263815,0.8308589240679125,2.0741721515411182,0.20733501364616636,1.058-1.465,"lagged, excluding 2020-21"
"TB, UK born",ocs_per_1000,FE only,-1,99,2013-2023,1.0352674987568413,0.5961807605125792,1.7977413311036101,0.8884298345483812,0.826-1.336,lead (falsification)
"TB, UK born",ocs_per_1000,FE + migration + age,-1,99,2013-2023,1.1621505124309766,0.7598916812753639,1.7773504393110513,0.43831092263809035,0.957-1.342,lead (falsification)
"TB, UK born",ocs_per_1000,FE only,-2,99,2012-2022,0.9148643020598425,0.5953876911160231,1.4057675421783975,0.6456669445840707,0.757-1.092,lead (falsification)
"TB, UK born",ocs_per_1000,FE + migration + age,-2,99,2012-2022,1.1164008449667078,0.7047142434494883,1.7685904013258587,0.5960931648408104,0.928-1.211,lead (falsification)
"TB, UK born",ocs_per_1000,FE only,-3,90,2012-2021,0.8690739243312212,0.6800175043113217,1.1106912412752936,0.22363055853754357,0.790-0.984,lead (falsification)
"TB, UK born",ocs_per_1000,FE + migration + age,-3,90,2012-2021,1.0619427939564905,0.8371472856966108,1.3471016592948897,0.576166330562658,0.946-1.149,lead (falsification)
"TB, UK born",pred_mg_per_resident,FE only,1,90,2015-2024,1.2695455735595877,0.9525890397949484,1.6919635813694465,0.09167209165461711,1.217-1.439,lagged exposure
