level,lag_years,n_years,r_levels,p_levels,r_year_on_year_change,p_change,outcome,exposure,model,n_obs,years,irr_per_10pct,ci_low,ci_high,p_cluster_t8,p_randomisation
England,0,14.0,0.16480531790354197,0.5734168073873744,-0.0862205288303525,0.77942399309887,,,,,,,,,,
England,1,13.0,-0.05202834651743776,0.8659528520714243,-0.4896331094553169,0.10615152867690716,,,,,,,,,,
England,2,12.0,-0.2384287500247938,0.4555020970647131,-0.22609494320950835,0.503815493301251,,,,,,,,,,
England,3,11.0,-0.5394045998189146,0.0868110419671771,-0.7499806993560962,0.012481410632781206,,,,,,,,,,
,1,,,,,,All TB,rate_oral_glucocorticoids,FE only,117.0,2012-2024,1.0333069524253315,0.7529615079695415,1.4180316611532786,0.8173279927991156,0.936
,1,,,,,,All TB,rate_oral_glucocorticoids,FE + migration + age,117.0,2012-2024,1.0081302655804365,0.7638592746328031,1.3305155362129268,0.947997387856601,0.95
,2,,,,,,All TB,rate_oral_glucocorticoids,FE only,108.0,2013-2024,1.0499650581716342,0.7642773058760418,1.44244322696161,0.7324656603408295,0.89
,2,,,,,,All TB,rate_oral_glucocorticoids,FE + migration + age,108.0,2013-2024,1.0196459178987674,0.7496675195857021,1.3868518652938169,0.8876388393369202,0.876
,3,,,,,,All TB,rate_oral_glucocorticoids,FE only,99.0,2014-2024,1.020013951870053,0.7899840424373108,1.3170246563456707,0.8625322914634285,0.952
,3,,,,,,All TB,rate_oral_glucocorticoids,FE + migration + age,99.0,2014-2024,0.9728830819984864,0.7596804505835575,1.2459205584556077,0.8042010707720598,0.848
,1,,,,,,All TB,rate_mg_pred_equivalent,FE only,117.0,2012-2024,1.2432142908865234,0.9460469010011415,1.633726373849848,0.10339474475009947,0.3
,1,,,,,,All TB,rate_mg_pred_equivalent,FE + migration + age,117.0,2012-2024,1.064193090245609,0.8427654515838373,1.3437984805833467,0.555631922188652,0.648
,2,,,,,,All TB,rate_mg_pred_equivalent,FE only,108.0,2013-2024,1.2066083540048251,0.9449109024192184,1.5407841270819715,0.11442016853507624,0.33
,2,,,,,,All TB,rate_mg_pred_equivalent,FE + migration + age,108.0,2013-2024,1.1079096531317576,0.8607257115838504,1.4260800891422587,0.3766431646155666,0.478
,3,,,,,,All TB,rate_mg_pred_equivalent,FE only,99.0,2014-2024,1.161896294626737,0.9256853284540532,1.4583821931389174,0.16638401717905277,0.358
,3,,,,,,All TB,rate_mg_pred_equivalent,FE + migration + age,99.0,2014-2024,1.104348160385905,0.9233116888815546,1.3208809917971105,0.23695987882961075,0.496
