outcome,exposure,model,lag_years,n_obs,years,irr_per_10pct,ci_low,ci_high,p_cluster_t8,p_randomisation,analysis,mde_pct_10pct
"TB, UK born",rate_oral_glucocorticoids,FE + migration + age,1,117,2012-2024,1.1880620296666493,0.8732498354945928,1.6163660489397007,0.2328274465243369,0.254,lagged exposure,53.19261632991687
"TB, UK born",rate_oral_glucocorticoids,FE + migration + age,2,108,2013-2024,1.2024914370408035,0.8032524001026844,1.8001635052339822,0.322729119932372,0.386,lagged exposure,74.89419925400036
"TB, UK born",rate_oral_glucocorticoids,FE + migration + age,3,99,2014-2024,1.0962185761099876,0.6701124007294237,1.7932740317901177,0.6782476966346275,0.714,lagged exposure,97.76205964529996
"TB, UK born",rate_oral_glucocorticoids,FE + migration + age,1,99,2012-2024,1.1894295577098988,0.865425967690599,1.6347356395246906,0.2438902009418006,0.28,"lagged, excluding 2020-21",55.36216048608979
"TB, UK born",rate_oral_glucocorticoids,FE + migration + age,2,90,2013-2024,1.2028400844362483,0.8028452471618881,1.8021209863809025,0.3229117586847697,0.372,"lagged, excluding 2020-21",75.08740398724751
"TB, UK born",rate_oral_glucocorticoids,FE + migration + age,3,81,2014-2024,1.0930366173168262,0.6703791286631029,1.7821692169593444,0.6858032846955763,0.714,"lagged, excluding 2020-21",96.85862560498886
"TB, UK born",rate_oral_glucocorticoids,FE + migration + age,-1,108,2012-2023,1.1990583751641612,0.781888175362101,1.8388064078159063,0.3562284012581649,0.374,lead (falsification),80.83201481691123
"TB, UK born",rate_oral_glucocorticoids,FE + migration + age,-2,99,2012-2022,1.0904105536546205,0.6675100870435455,1.7812392630462388,0.694885164228965,0.686,lead (falsification),97.37300014689878
"TB, UK born",rate_oral_glucocorticoids,FE + migration + age,-3,90,2012-2021,1.0924771670508089,0.8271127249717973,1.4429790819238772,0.4844907095638159,0.536,lead (falsification),47.038311707936195
"TB, UK born",rate_mg_pred_equivalent,FE + migration + age,1,117,2012-2024,1.2506586309945762,0.950689668500876,1.645276122278367,0.0967874295384912,0.122,lagged exposure,46.22081045601234
"TB, UK born",rate_mg_pred_equivalent,FE + migration + age,2,108,2013-2024,1.3304536543335972,0.9623322968517208,1.8393926215721372,0.0765406021805908,0.162,lagged exposure,56.639108288606366
"TB, UK born",rate_mg_pred_equivalent,FE + migration + age,3,99,2014-2024,1.3312660306490962,0.936507129940075,1.89242472128707,0.0975140734194534,0.238,lagged exposure,62.792864270169055
"TB, UK born",rate_mg_pred_equivalent,FE + migration + age,1,99,2012-2024,1.2711202048914052,0.9388768207712568,1.7209356323824088,0.1052884419206734,0.114,"lagged, excluding 2020-21",52.15878856247655
"TB, UK born",rate_mg_pred_equivalent,FE + migration + age,2,90,2013-2024,1.3192562464127005,0.9687122402585931,1.7966502036087897,0.0723786839659827,0.14,"lagged, excluding 2020-21",53.4047492567435
