utla,ocs_2014_16,ocs_2019_21,mig_2014_16,mig_2022_24,tb_count_1416,tb_denominator_1416,tb_count_2224,tb_denominator_2224,dlog_ocs,dlog_tb,d_mig
E06000002,190.83482441485708,148.54782217819027,9.116463603028814,52.70752155286306,41.0,419281.0,45.0,459139.0,-0.25050131898677147,0.0022787661379761173,43.591057949834244
E06000004,143.25332851408518,123.40313978252188,4.162877216570776,15.334950858166374,32.0,587315.0,34.0,611321.0,-0.1491580359350877,0.02056373516553572,11.172073641595599
E06000007,140.83598052716545,126.73001728555856,6.871931061865936,11.726857411474287,26.0,628504.0,26.0,640745.0,-0.10553697910435786,-0.019289169488655285,4.85492634960835
E06000008,196.54619202340868,178.5106771036202,5.734180875321502,16.427453896781433,106.0,451566.0,81.0,477997.0,-0.09624906245688876,-0.3258728541848959,10.69327302145993
E06000009,224.84376937377235,174.0873530730743,4.560573212939638,13.4240986690043,42.0,426037.0,35.0,428941.0,-0.25584860029157785,-0.18911474016860927,8.86352545606466
E06000010,153.88485439833863,142.40872796590554,11.335262435479656,26.970247791319377,48.0,788945.0,59.0,817238.0,-0.0775033350404397,0.171102680815089,15.63498535583972
E06000011,175.98123131248175,161.9354368691952,3.5255660067839236,3.888853738931528,19.0,1006683.0,25.0,1053721.0,-0.08317963113108717,0.22876990425833346,0.36328773214760446
E06000012,150.46860524984675,154.482436699501,4.44749284197933,6.777071520603283,20.0,477437.0,11.0,476416.0,0.026325952118299488,-0.5956962088517611,2.329578678623953
E06000013,152.88882661313338,159.61087846379408,6.407605134983785,6.763784152848388,22.0,508202.0,22.0,511938.0,0.04302780966348405,-0.0073245176202669324,0.35617901786460315
E06000015,121.65306779755507,110.72583678590364,10.136722711992126,29.526926344475967,100.0,772609.0,96.0,808373.0,-0.09411608002495774,-0.08607248104286726,19.39020363248384
E06000016,119.54679431295132,93.01235521008225,27.266310989965433,52.482782453268435,397.0,1049559.0,482.0,1144130.0,-0.2509755428807137,0.1077333864430181,25.216471463303
E06000018,123.46526777033073,94.12909414781986,27.15062071705385,46.67477240290856,152.0,941229.0,125.0,984835.0,-0.27129270178933623,-0.24085442988564856,19.524151685854708
E06000020,152.18642000806517,133.38071044077276,6.866529083665333,10.675851110760073,19.0,518860.0,34.0,577369.0,-0.1318986931639677,0.47507406587129586,3.8093220270947397
E06000021,156.59530673663252,139.4591997686719,9.087399525879585,23.513392517884167,89.0,763579.0,96.0,796871.0,-0.11589272964851022,0.033035603173185324,14.425992992004582
E06000022,141.22738410261425,124.16873064603664,19.217648209554493,20.65467802412852,36.0,548133.0,22.0,593759.0,-0.12872987299331046,-0.5724320399956175,1.437029814574025
E06000023,141.90210782498173,114.02753172200096,19.847497752923243,29.186639375853513,243.0,1355212.0,131.0,1460414.0,-0.21869751278446903,-0.6926261776494416,9.33914162293027
E06000024,172.62397283391837,144.6718667104576,4.927795511487868,7.677114100732261,24.0,631830.0,21.0,665569.0,-0.1766474716481135,-0.1855533359061624,2.7493185892443934
E06000025,122.23583307495763,108.03815819948113,9.204707060773224,15.791163742243656,55.0,817837.0,42.0,902158.0,-0.12346775538794089,-0.36779018772614724,6.586456681470432
E06000026,168.20826641075442,148.6823963431066,9.013700612686812,16.97015702545855,46.0,789508.0,44.0,810179.0,-0.12339042989612901,-0.07029700683753923,7.95645641277174
E06000027,206.96437371608985,189.93361468963522,4.152523747255406,7.267841306087313,20.0,405441.0,19.0,419305.0,-0.08587205606439596,-0.08491650954353984,3.115317558831906
E06000030,108.17639686527536,95.80431762198445,11.297670784371405,18.210532886345526,70.0,665301.0,68.0,720139.0,-0.12145544595720256,-0.10819221597805428,6.91286210197412
E06000031,122.04029949285064,120.80683523670113,19.94121343054565,21.508797052582917,115.0,601103.0,119.0,662955.0,-0.010158446915054579,-0.06374944894814862,1.5675836220372688
E06000032,109.93094696503346,96.09404269726254,26.80487592259286,51.58403017683844,185.0,652313.0,158.0,700276.0,-0.13452509041699465,-0.22871082701510087,24.77915425424558
E06000033,111.75727655926293,114.37121273406046,6.020232505166223,13.13899816755116,31.0,538278.0,39.0,548837.0,0.02312006434168966,0.21014810300842263,7.118765662384937
E06000034,103.10261490232794,92.83319433978113,9.935230260252444,14.034573420450998,27.0,500050.0,35.0,537047.0,-0.10492048001790907,0.18813367495121627,4.099343160198554
E06000035,103.75936288477509,103.03490544161666,8.273610220170186,17.225112157913838,42.0,827518.0,60.0,863408.0,-0.007006581108706087,0.3142184544470146,8.951501937743652
